Module	Section	Sample Name	Source
FastQC	all_sections	PID-2861-34_R1	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-34_R1.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-34_R2	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-34_R2.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-35_R1	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-35_R1.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-35_R2	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-35_R2.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-36_R1	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-36_R1.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-36_R2	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-36_R2.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-37_R1	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-37_R1.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-37_R2	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-37_R2.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-38_R1	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-38_R1.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-38_R2	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-38_R2.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-39_R1	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-39_R1.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-39_R2	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-39_R2.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-40_R1	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-40_R1.trimmed_fastqc.zip
FastQC	all_sections	PID-2861-40_R2	/mnt/c/Users/star/Desktop/uea_project/qc_output/fastqc_trimmed/PID-2861-40_R2.trimmed_fastqc.zip
