Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
PID-2861-25_R1	(1.0, 55.17026107433419)	(2.0, 23.321051128060116)	(3.0, 10.549591051267058)	(4.0, 4.954870809387248)	(5.0, 2.4990816570638037)	(6.0, 1.3310815290795606)	(7.0, 0.7029750668638817)	(8.0, 0.46932474314431316)	(9.0, 0.262914056742719)	('>10', 0.7388488840571054)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-25_R2	(1.0, 57.01661384201556)	(2.0, 22.327511731932464)	(3.0, 10.05116558485023)	(4.0, 4.664696802372176)	(5.0, 2.2593763807135634)	(6.0, 1.2021660903769151)	(7.0, 0.6689614772395117)	(8.0, 0.4284256253189519)	(9.0, 0.25469108357796777)	('>10', 0.6647140410912928)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.4616773405113523)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-26_R1	(1.0, 53.04026157127717)	(2.0, 23.47258718211267)	(3.0, 10.77648604557196)	(4.0, 5.314269313104227)	(5.0, 2.857685626704556)	(6.0, 1.4539288113188673)	(7.0, 0.8687883894431185)	(8.0, 0.5563309748609355)	(9.0, 0.36453922138459216)	('>10', 1.2783110866004688)	('>50', 0.01681177762141982)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-26_R2	(1.0, 54.63817590553038)	(2.0, 22.406788199982213)	(3.0, 10.408687521400495)	(4.0, 5.161892204063756)	(5.0, 2.607811226621971)	(6.0, 1.3864539695498108)	(7.0, 0.8431340887371559)	(8.0, 0.5013766426114962)	(9.0, 0.3784926659408683)	('>10', 1.2076550020773582)	('>50', 0.01260400191393959)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.44692857157058385)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-27_R1	(1.0, 52.68560256749454)	(2.0, 23.253685579322546)	(3.0, 11.038894051851157)	(4.0, 5.628337015031871)	(5.0, 3.0279205727417544)	(6.0, 1.6098249314378397)	(7.0, 0.9430534234689693)	(8.0, 0.5354115435594791)	(9.0, 0.36688618069985585)	('>10', 0.910384134392003)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-27_R2	(1.0, 53.215693454010136)	(2.0, 22.74415882517363)	(3.0, 10.99776784322704)	(4.0, 5.362410221181548)	(5.0, 2.906332286361513)	(6.0, 1.5274492144111371)	(7.0, 0.9578095184163505)	(8.0, 0.5839803343907115)	(9.0, 0.33955662137731535)	('>10', 0.9510798403091469)	('>50', 0.005714687937351389)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.40804715320410645)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-28_R1	(1.0, 55.05573677171899)	(2.0, 23.812974672071324)	(3.0, 10.632286709351497)	(4.0, 4.7751509624290405)	(5.0, 2.4948205535624566)	(6.0, 1.2898756944442424)	(7.0, 0.653440434011345)	(8.0, 0.38566854102497083)	(9.0, 0.25303369340381476)	('>10', 0.6470119679823099)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-28_R2	(1.0, 56.6395294389592)	(2.0, 22.732712893940622)	(3.0, 10.159309868365234)	(4.0, 4.704261903778216)	(5.0, 2.2996715742313025)	(6.0, 1.2168291611355853)	(7.0, 0.68479597811085)	(8.0, 0.39411411433077825)	(9.0, 0.22946352896593986)	('>10', 0.5801990882261329)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.35911244995615355)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-29_R1	(1.0, 56.53915487904112)	(2.0, 23.12282962836349)	(3.0, 9.896870943380556)	(4.0, 4.540993718049521)	(5.0, 2.2562092214324236)	(6.0, 1.1804017098898745)	(7.0, 0.6550336780732566)	(8.0, 0.40807947616177564)	(9.0, 0.27875810735342127)	('>10', 1.100347711240735)	('>50', 0.021320927013858862)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-29_R2	(1.0, 59.05942664803043)	(2.0, 21.681529103415816)	(3.0, 9.285054931942485)	(4.0, 4.160260158124785)	(5.0, 2.029094242785848)	(6.0, 1.087199037932373)	(7.0, 0.6058690013813819)	(8.0, 0.35219061201995655)	(9.0, 0.2667946837317735)	('>10', 1.0227185695151662)	('>50', 0.023900927711798147)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.42596208340817227)	('>5k', 0.0)	('>10k+', 0.0)
