Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
PID-2861-1_R2	(10, 2.0)	(15, 1.0)	(20, 2.0)	(25, 14.0)	(30, 36.0)	(35, 79.0)	(40, 224.0)	(45, 209.0)	(50, 383.0)	(55, 302.0)	(60, 567.0)	(65, 430.0)	(70, 703.0)	(75, 669.0)	(80, 820.0)	(85, 962.0)	(90, 1026.0)	(95, 1168.0)	(100, 1129.0)	(105, 1396.0)	(110, 1308.0)	(115, 1717.0)	(120, 1588.0)	(125, 2165.0)	(130, 1831.0)	(135, 3132.0)	(140, 2479.0)	(145, 75920.0)	(150, 888340.0)
PID-2861-20_R1	(10, 2.0)	(15, 0.0)	(20, 2.0)	(25, 9.0)	(30, 33.0)	(35, 49.0)	(40, 180.0)	(45, 202.0)	(50, 300.0)	(55, 317.0)	(60, 483.0)	(65, 470.0)	(70, 674.0)	(75, 669.0)	(80, 837.0)	(85, 835.0)	(90, 961.0)	(95, 1182.0)	(100, 1137.0)	(105, 1392.0)	(110, 1291.0)	(115, 1705.0)	(120, 1497.0)	(125, 2151.0)	(130, 1837.0)	(135, 3206.0)	(140, 2637.0)	(145, 79353.0)	(150, 935021.0)
PID-2861-20_R2	(10, 2.0)	(15, 0.0)	(20, 2.0)	(25, 9.0)	(30, 33.0)	(35, 49.0)	(40, 180.0)	(45, 202.0)	(50, 300.0)	(55, 317.0)	(60, 483.0)	(65, 470.0)	(70, 674.0)	(75, 669.0)	(80, 837.0)	(85, 835.0)	(90, 961.0)	(95, 1182.0)	(100, 1137.0)	(105, 1392.0)	(110, 1291.0)	(115, 1705.0)	(120, 1497.0)	(125, 2151.0)	(130, 1837.0)	(135, 3205.0)	(140, 2631.0)	(145, 79222.0)	(150, 935159.0)
PID-2861-21_R1	(10, 1.0)	(15, 1.0)	(20, 0.0)	(25, 10.0)	(30, 41.0)	(35, 83.0)	(40, 271.0)	(45, 260.0)	(50, 409.0)	(55, 384.0)	(60, 640.0)	(65, 621.0)	(70, 637.0)	(75, 805.0)	(80, 882.0)	(85, 940.0)	(90, 1026.0)	(95, 1239.0)	(100, 1293.0)	(105, 1537.0)	(110, 1408.0)	(115, 1959.0)	(120, 1675.0)	(125, 2355.0)	(130, 2035.0)	(135, 3458.0)	(140, 2763.0)	(145, 82871.0)	(150, 966424.0)
PID-2861-21_R2	(10, 1.0)	(15, 1.0)	(20, 0.0)	(25, 10.0)	(30, 41.0)	(35, 83.0)	(40, 271.0)	(45, 260.0)	(50, 409.0)	(55, 384.0)	(60, 640.0)	(65, 621.0)	(70, 637.0)	(75, 805.0)	(80, 882.0)	(85, 940.0)	(90, 1026.0)	(95, 1239.0)	(100, 1293.0)	(105, 1537.0)	(110, 1408.0)	(115, 1959.0)	(120, 1675.0)	(125, 2355.0)	(130, 2035.0)	(135, 3457.0)	(140, 2774.0)	(145, 82879.0)	(150, 966406.0)
PID-2861-22_R1	(15, 1.0)	(20, 2.0)	(25, 2.0)	(30, 30.0)	(35, 63.0)	(40, 145.0)	(45, 188.0)	(50, 287.0)	(55, 297.0)	(60, 479.0)	(65, 431.0)	(70, 573.0)	(75, 646.0)	(80, 702.0)	(85, 848.0)	(90, 877.0)	(95, 1040.0)	(100, 1143.0)	(105, 1352.0)	(110, 1254.0)	(115, 1651.0)	(120, 1483.0)	(125, 1905.0)	(130, 1685.0)	(135, 2995.0)	(140, 2348.0)	(145, 77344.0)	(150, 906588.0)	
PID-2861-22_R2	(15, 1.0)	(20, 2.0)	(25, 2.0)	(30, 30.0)	(35, 63.0)	(40, 145.0)	(45, 188.0)	(50, 287.0)	(55, 297.0)	(60, 479.0)	(65, 431.0)	(70, 573.0)	(75, 646.0)	(80, 702.0)	(85, 848.0)	(90, 877.0)	(95, 1040.0)	(100, 1143.0)	(105, 1352.0)	(110, 1254.0)	(115, 1651.0)	(120, 1483.0)	(125, 1905.0)	(130, 1685.0)	(135, 2995.0)	(140, 2339.0)	(145, 76436.0)	(150, 907505.0)	
PID-2861-23_R1	(10, 1.0)	(15, 1.0)	(20, 3.0)	(25, 4.0)	(30, 38.0)	(35, 65.0)	(40, 183.0)	(45, 138.0)	(50, 274.0)	(55, 245.0)	(60, 369.0)	(65, 317.0)	(70, 450.0)	(75, 433.0)	(80, 596.0)	(85, 625.0)	(90, 681.0)	(95, 874.0)	(100, 914.0)	(105, 1141.0)	(110, 960.0)	(115, 1381.0)	(120, 1168.0)	(125, 1572.0)	(130, 1497.0)	(135, 2481.0)	(140, 2092.0)	(145, 63802.0)	(150, 758264.0)
PID-2861-23_R2	(10, 1.0)	(15, 1.0)	(20, 3.0)	(25, 4.0)	(30, 38.0)	(35, 65.0)	(40, 183.0)	(45, 138.0)	(50, 274.0)	(55, 245.0)	(60, 369.0)	(65, 317.0)	(70, 450.0)	(75, 433.0)	(80, 596.0)	(85, 625.0)	(90, 681.0)	(95, 874.0)	(100, 914.0)	(105, 1141.0)	(110, 960.0)	(115, 1381.0)	(120, 1168.0)	(125, 1572.0)	(130, 1497.0)	(135, 2479.0)	(140, 2095.0)	(145, 63486.0)	(150, 758579.0)
PID-2861-24_R1	(10, 1.0)	(15, 1.0)	(20, 3.0)	(25, 4.0)	(30, 32.0)	(35, 69.0)	(40, 174.0)	(45, 161.0)	(50, 286.0)	(55, 245.0)	(60, 415.0)	(65, 402.0)	(70, 548.0)	(75, 526.0)	(80, 724.0)	(85, 816.0)	(90, 774.0)	(95, 1021.0)	(100, 964.0)	(105, 1152.0)	(110, 1138.0)	(115, 1560.0)	(120, 1368.0)	(125, 1937.0)	(130, 1725.0)	(135, 2834.0)	(140, 2345.0)	(145, 73719.0)	(150, 874247.0)
PID-2861-24_R2	(10, 1.0)	(15, 1.0)	(20, 3.0)	(25, 4.0)	(30, 32.0)	(35, 69.0)	(40, 174.0)	(45, 161.0)	(50, 286.0)	(55, 245.0)	(60, 415.0)	(65, 402.0)	(70, 548.0)	(75, 526.0)	(80, 724.0)	(85, 816.0)	(90, 774.0)	(95, 1021.0)	(100, 964.0)	(105, 1152.0)	(110, 1138.0)	(115, 1560.0)	(120, 1368.0)	(125, 1937.0)	(130, 1725.0)	(135, 2834.0)	(140, 2353.0)	(145, 73346.0)	(150, 874612.0)
PID-2861-25_R1	(10, 2.0)	(15, 2.0)	(20, 4.0)	(25, 8.0)	(30, 34.0)	(35, 64.0)	(40, 214.0)	(45, 200.0)	(50, 348.0)	(55, 327.0)	(60, 471.0)	(65, 504.0)	(70, 663.0)	(75, 593.0)	(80, 878.0)	(85, 822.0)	(90, 904.0)	(95, 1119.0)	(100, 1066.0)	(105, 1437.0)	(110, 1264.0)	(115, 1644.0)	(120, 1450.0)	(125, 2018.0)	(130, 1823.0)	(135, 3077.0)	(140, 2383.0)	(145, 76412.0)	(150, 886788.0)
PID-2861-25_R2	(10, 2.0)	(15, 2.0)	(20, 4.0)	(25, 8.0)	(30, 34.0)	(35, 64.0)	(40, 214.0)	(45, 200.0)	(50, 348.0)	(55, 327.0)	(60, 471.0)	(65, 504.0)	(70, 663.0)	(75, 593.0)	(80, 878.0)	(85, 822.0)	(90, 904.0)	(95, 1119.0)	(100, 1066.0)	(105, 1437.0)	(110, 1264.0)	(115, 1644.0)	(120, 1450.0)	(125, 2018.0)	(130, 1823.0)	(135, 3077.0)	(140, 2377.0)	(145, 76528.0)	(150, 886678.0)
PID-2861-26_R1	(10, 2.0)	(15, 1.0)	(20, 2.0)	(25, 9.0)	(30, 40.0)	(35, 107.0)	(40, 270.0)	(45, 266.0)	(50, 426.0)	(55, 411.0)	(60, 602.0)	(65, 472.0)	(70, 710.0)	(75, 726.0)	(80, 814.0)	(85, 942.0)	(90, 1175.0)	(95, 1409.0)	(100, 1380.0)	(105, 1804.0)	(110, 1530.0)	(115, 2073.0)	(120, 1896.0)	(125, 2655.0)	(130, 2275.0)	(135, 3888.0)	(140, 3114.0)	(145, 91561.0)	(150, 1065273.0)
PID-2861-26_R2	(10, 2.0)	(15, 1.0)	(20, 2.0)	(25, 9.0)	(30, 40.0)	(35, 107.0)	(40, 270.0)	(45, 266.0)	(50, 426.0)	(55, 411.0)	(60, 602.0)	(65, 472.0)	(70, 710.0)	(75, 726.0)	(80, 814.0)	(85, 942.0)	(90, 1175.0)	(95, 1409.0)	(100, 1380.0)	(105, 1804.0)	(110, 1530.0)	(115, 2073.0)	(120, 1896.0)	(125, 2655.0)	(130, 2275.0)	(135, 3888.0)	(140, 3107.0)	(145, 91432.0)	(150, 1065409.0)
PID-2861-27_R1	(10, 1.0)	(15, 4.0)	(20, 2.0)	(25, 17.0)	(30, 52.0)	(35, 98.0)	(40, 251.0)	(45, 265.0)	(50, 420.0)	(55, 434.0)	(60, 608.0)	(65, 590.0)	(70, 749.0)	(75, 793.0)	(80, 972.0)	(85, 969.0)	(90, 1097.0)	(95, 1342.0)	(100, 1365.0)	(105, 1639.0)	(110, 1628.0)	(115, 2133.0)	(120, 1870.0)	(125, 2599.0)	(130, 2189.0)	(135, 3727.0)	(140, 2997.0)	(145, 93328.0)	(150, 1084937.0)
PID-2861-27_R2	(10, 1.0)	(15, 4.0)	(20, 2.0)	(25, 17.0)	(30, 52.0)	(35, 98.0)	(40, 251.0)	(45, 265.0)	(50, 420.0)	(55, 434.0)	(60, 608.0)	(65, 590.0)	(70, 749.0)	(75, 793.0)	(80, 972.0)	(85, 969.0)	(90, 1097.0)	(95, 1342.0)	(100, 1365.0)	(105, 1639.0)	(110, 1628.0)	(115, 2133.0)	(120, 1870.0)	(125, 2599.0)	(130, 2189.0)	(135, 3727.0)	(140, 3021.0)	(145, 92119.0)	(150, 1086122.0)
PID-2861-28_R1	(10, 1.0)	(15, 2.0)	(20, 4.0)	(25, 5.0)	(30, 33.0)	(35, 58.0)	(40, 173.0)	(45, 207.0)	(50, 295.0)	(55, 325.0)	(60, 444.0)	(65, 433.0)	(70, 639.0)	(75, 647.0)	(80, 719.0)	(85, 871.0)	(90, 900.0)	(95, 1079.0)	(100, 1001.0)	(105, 1351.0)	(110, 1270.0)	(115, 1736.0)	(120, 1449.0)	(125, 2116.0)	(130, 1780.0)	(135, 2920.0)	(140, 2451.0)	(145, 74598.0)	(150, 877901.0)
PID-2861-28_R2	(10, 1.0)	(15, 2.0)	(20, 4.0)	(25, 5.0)	(30, 33.0)	(35, 58.0)	(40, 173.0)	(45, 207.0)	(50, 295.0)	(55, 325.0)	(60, 444.0)	(65, 433.0)	(70, 639.0)	(75, 647.0)	(80, 719.0)	(85, 871.0)	(90, 900.0)	(95, 1079.0)	(100, 1001.0)	(105, 1351.0)	(110, 1270.0)	(115, 1736.0)	(120, 1449.0)	(125, 2116.0)	(130, 1780.0)	(135, 2920.0)	(140, 2452.0)	(145, 74570.0)	(150, 877928.0)
PID-2861-29_R1	(15, 1.0)	(20, 1.0)	(25, 6.0)	(30, 31.0)	(35, 84.0)	(40, 157.0)	(45, 180.0)	(50, 300.0)	(55, 296.0)	(60, 390.0)	(65, 435.0)	(70, 582.0)	(75, 537.0)	(80, 652.0)	(85, 798.0)	(90, 793.0)	(95, 1012.0)	(100, 899.0)	(105, 1203.0)	(110, 1144.0)	(115, 1540.0)	(120, 1383.0)	(125, 1889.0)	(130, 1595.0)	(135, 2671.0)	(140, 2224.0)	(145, 68237.0)	(150, 793722.0)	
PID-2861-29_R2	(15, 1.0)	(20, 1.0)	(25, 6.0)	(30, 31.0)	(35, 84.0)	(40, 157.0)	(45, 180.0)	(50, 300.0)	(55, 296.0)	(60, 390.0)	(65, 435.0)	(70, 582.0)	(75, 537.0)	(80, 652.0)	(85, 798.0)	(90, 793.0)	(95, 1012.0)	(100, 899.0)	(105, 1203.0)	(110, 1144.0)	(115, 1540.0)	(120, 1383.0)	(125, 1889.0)	(130, 1595.0)	(135, 2672.0)	(140, 2224.0)	(145, 68592.0)	(150, 793366.0)	
PID-2861-2_R1	(10, 3.0)	(15, 10.0)	(20, 10.0)	(25, 11.0)	(30, 39.0)	(35, 81.0)	(40, 208.0)	(45, 212.0)	(50, 357.0)	(55, 351.0)	(60, 518.0)	(65, 450.0)	(70, 621.0)	(75, 711.0)	(80, 840.0)	(85, 815.0)	(90, 880.0)	(95, 1033.0)	(100, 1113.0)	(105, 1343.0)	(110, 1217.0)	(115, 1744.0)	(120, 1544.0)	(125, 2019.0)	(130, 1809.0)	(135, 2981.0)	(140, 2423.0)	(145, 73767.0)	(150, 856718.0)
PID-2861-2_R2	(10, 3.0)	(15, 10.0)	(20, 10.0)	(25, 11.0)	(30, 39.0)	(35, 81.0)	(40, 208.0)	(45, 212.0)	(50, 357.0)	(55, 351.0)	(60, 518.0)	(65, 450.0)	(70, 621.0)	(75, 711.0)	(80, 840.0)	(85, 815.0)	(90, 880.0)	(95, 1033.0)	(100, 1113.0)	(105, 1343.0)	(110, 1217.0)	(115, 1744.0)	(120, 1544.0)	(125, 2019.0)	(130, 1809.0)	(135, 2981.0)	(140, 2449.0)	(145, 74032.0)	(150, 856427.0)
PID-2861-30_R1	(25, 4.0)	(30, 21.0)	(35, 41.0)	(40, 100.0)	(45, 137.0)	(50, 238.0)	(55, 181.0)	(60, 306.0)	(65, 328.0)	(70, 357.0)	(75, 370.0)	(80, 477.0)	(85, 554.0)	(90, 625.0)	(95, 687.0)	(100, 808.0)	(105, 989.0)	(110, 927.0)	(115, 1147.0)	(120, 1101.0)	(125, 1562.0)	(130, 1297.0)	(135, 2266.0)	(140, 1750.0)	(145, 60252.0)	(150, 701539.0)			
