Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
PID-2861-20_R2	(13.0, 9.0)	(14.0, 73.0)	(15.0, 493.0)	(16.0, 1328.0)	(17.0, 1437.0)	(18.0, 1297.0)	(19.0, 1151.0)	(20.0, 1139.0)	(21.0, 1213.0)	(22.0, 1198.0)	(23.0, 1337.0)	(24.0, 1460.0)	(25.0, 1683.0)	(26.0, 1928.0)	(27.0, 2325.0)	(28.0, 2740.0)	(29.0, 3304.0)	(30.0, 4094.0)	(31.0, 5095.0)	(32.0, 6741.0)	(33.0, 8802.0)	(34.0, 12426.0)	(35.0, 17549.0)	(36.0, 28055.0)	(37.0, 51066.0)	(38.0, 141130.0)	(39.0, 670243.0)	(40.0, 69116.0)
PID-2861-21_R1	(15.0, 1.0)	(16.0, 0.0)	(17.0, 16.0)	(18.0, 39.0)	(19.0, 66.0)	(20.0, 156.0)	(21.0, 232.0)	(22.0, 287.0)	(23.0, 318.0)	(24.0, 488.0)	(25.0, 538.0)	(26.0, 712.0)	(27.0, 890.0)	(28.0, 1130.0)	(29.0, 1452.0)	(30.0, 1923.0)	(31.0, 2328.0)	(32.0, 3194.0)	(33.0, 4282.0)	(34.0, 6212.0)	(35.0, 8964.0)	(36.0, 14836.0)	(37.0, 26192.0)	(38.0, 70862.0)	(39.0, 737992.0)	(40.0, 192918.0)		
PID-2861-21_R2	(13.0, 16.0)	(14.0, 90.0)	(15.0, 489.0)	(16.0, 1379.0)	(17.0, 1478.0)	(18.0, 1352.0)	(19.0, 1166.0)	(20.0, 1267.0)	(21.0, 1290.0)	(22.0, 1403.0)	(23.0, 1466.0)	(24.0, 1647.0)	(25.0, 1943.0)	(26.0, 2262.0)	(27.0, 2561.0)	(28.0, 3129.0)	(29.0, 3790.0)	(30.0, 4565.0)	(31.0, 5756.0)	(32.0, 7411.0)	(33.0, 9697.0)	(34.0, 13588.0)	(35.0, 18370.0)	(36.0, 29058.0)	(37.0, 51098.0)	(38.0, 139420.0)	(39.0, 692245.0)	(40.0, 78092.0)
PID-2861-22_R1	(16.0, 2.0)	(17.0, 13.0)	(18.0, 36.0)	(19.0, 90.0)	(20.0, 109.0)	(21.0, 222.0)	(22.0, 268.0)	(23.0, 389.0)	(24.0, 478.0)	(25.0, 588.0)	(26.0, 796.0)	(27.0, 957.0)	(28.0, 1187.0)	(29.0, 1520.0)	(30.0, 2018.0)	(31.0, 2502.0)	(32.0, 3424.0)	(33.0, 4498.0)	(34.0, 6412.0)	(35.0, 9579.0)	(36.0, 15267.0)	(37.0, 27118.0)	(38.0, 73401.0)	(39.0, 695304.0)	(40.0, 160181.0)			
PID-2861-22_R2	(13.0, 8.0)	(14.0, 67.0)	(15.0, 419.0)	(16.0, 1161.0)	(17.0, 1336.0)	(18.0, 1213.0)	(19.0, 1110.0)	(20.0, 1098.0)	(21.0, 1162.0)	(22.0, 1178.0)	(23.0, 1368.0)	(24.0, 1465.0)	(25.0, 1704.0)	(26.0, 1998.0)	(27.0, 2223.0)	(28.0, 2695.0)	(29.0, 3310.0)	(30.0, 3999.0)	(31.0, 4871.0)	(32.0, 6556.0)	(33.0, 8620.0)	(34.0, 11911.0)	(35.0, 16818.0)	(36.0, 26048.0)	(37.0, 46873.0)	(38.0, 129914.0)	(39.0, 653420.0)	(40.0, 73814.0)
PID-2861-23_R1	(16.0, 2.0)	(17.0, 12.0)	(18.0, 26.0)	(19.0, 46.0)	(20.0, 87.0)	(21.0, 149.0)	(22.0, 187.0)	(23.0, 219.0)	(24.0, 303.0)	(25.0, 402.0)	(26.0, 522.0)	(27.0, 629.0)	(28.0, 810.0)	(29.0, 1044.0)	(30.0, 1360.0)	(31.0, 1724.0)	(32.0, 2348.0)	(33.0, 3321.0)	(34.0, 4725.0)	(35.0, 7072.0)	(36.0, 11545.0)	(37.0, 20592.0)	(38.0, 56155.0)	(39.0, 583826.0)	(40.0, 143463.0)			
PID-2861-23_R2	(13.0, 8.0)	(14.0, 69.0)	(15.0, 376.0)	(16.0, 1065.0)	(17.0, 1160.0)	(18.0, 965.0)	(19.0, 872.0)	(20.0, 815.0)	(21.0, 879.0)	(22.0, 970.0)	(23.0, 1090.0)	(24.0, 1172.0)	(25.0, 1230.0)	(26.0, 1579.0)	(27.0, 1798.0)	(28.0, 2110.0)	(29.0, 2583.0)	(30.0, 3126.0)	(31.0, 3816.0)	(32.0, 5219.0)	(33.0, 6616.0)	(34.0, 9093.0)	(35.0, 13169.0)	(36.0, 20777.0)	(37.0, 37058.0)	(38.0, 103746.0)	(39.0, 554235.0)	(40.0, 64973.0)
PID-2861-24_R1	(15.0, 1.0)	(16.0, 2.0)	(17.0, 20.0)	(18.0, 47.0)	(19.0, 82.0)	(20.0, 131.0)	(21.0, 222.0)	(22.0, 285.0)	(23.0, 396.0)	(24.0, 462.0)	(25.0, 622.0)	(26.0, 782.0)	(27.0, 935.0)	(28.0, 1208.0)	(29.0, 1531.0)	(30.0, 2007.0)	(31.0, 2540.0)	(32.0, 3538.0)	(33.0, 4685.0)	(34.0, 6864.0)	(35.0, 9915.0)	(36.0, 16081.0)	(37.0, 29014.0)	(38.0, 79439.0)	(39.0, 673167.0)	(40.0, 135215.0)		
PID-2861-24_R2	(13.0, 3.0)	(14.0, 43.0)	(15.0, 329.0)	(16.0, 1112.0)	(17.0, 1248.0)	(18.0, 1022.0)	(19.0, 932.0)	(20.0, 924.0)	(21.0, 915.0)	(22.0, 964.0)	(23.0, 1082.0)	(24.0, 1221.0)	(25.0, 1470.0)	(26.0, 1695.0)	(27.0, 1890.0)	(28.0, 2379.0)	(29.0, 2800.0)	(30.0, 3574.0)	(31.0, 4328.0)	(32.0, 5746.0)	(33.0, 7842.0)	(34.0, 10817.0)	(35.0, 15635.0)	(36.0, 25188.0)	(37.0, 44950.0)	(38.0, 125815.0)	(39.0, 635551.0)	(40.0, 69716.0)
PID-2861-25_R1	(16.0, 4.0)	(17.0, 12.0)	(18.0, 32.0)	(19.0, 63.0)	(20.0, 109.0)	(21.0, 175.0)	(22.0, 298.0)	(23.0, 346.0)	(24.0, 445.0)	(25.0, 578.0)	(26.0, 732.0)	(27.0, 858.0)	(28.0, 1096.0)	(29.0, 1384.0)	(30.0, 1880.0)	(31.0, 2306.0)	(32.0, 3208.0)	(33.0, 4171.0)	(34.0, 6005.0)	(35.0, 8684.0)	(36.0, 14200.0)	(37.0, 25033.0)	(38.0, 66039.0)	(39.0, 677915.0)	(40.0, 170946.0)			
PID-2861-25_R2	(13.0, 9.0)	(14.0, 71.0)	(15.0, 395.0)	(16.0, 1255.0)	(17.0, 1471.0)	(18.0, 1363.0)	(19.0, 1204.0)	(20.0, 1179.0)	(21.0, 1194.0)	(22.0, 1297.0)	(23.0, 1335.0)	(24.0, 1589.0)	(25.0, 1701.0)	(26.0, 2040.0)	(27.0, 2257.0)	(28.0, 2610.0)	(29.0, 3174.0)	(30.0, 4059.0)	(31.0, 4791.0)	(32.0, 6307.0)	(33.0, 8313.0)	(34.0, 11416.0)	(35.0, 16233.0)	(36.0, 25374.0)	(37.0, 44622.0)	(38.0, 123625.0)	(39.0, 644906.0)	(40.0, 72729.0)
PID-2861-26_R1	(16.0, 1.0)	(17.0, 11.0)	(18.0, 44.0)	(19.0, 95.0)	(20.0, 178.0)	(21.0, 218.0)	(22.0, 346.0)	(23.0, 416.0)	(24.0, 529.0)	(25.0, 647.0)	(26.0, 850.0)	(27.0, 980.0)	(28.0, 1266.0)	(29.0, 1639.0)	(30.0, 2097.0)	(31.0, 2604.0)	(32.0, 3611.0)	(33.0, 4998.0)	(34.0, 7177.0)	(35.0, 10159.0)	(36.0, 16469.0)	(37.0, 29670.0)	(38.0, 78412.0)	(39.0, 817597.0)	(40.0, 205819.0)			
PID-2861-26_R2	(13.0, 3.0)	(14.0, 88.0)	(15.0, 485.0)	(16.0, 1430.0)	(17.0, 1598.0)	(18.0, 1392.0)	(19.0, 1303.0)	(20.0, 1347.0)	(21.0, 1311.0)	(22.0, 1360.0)	(23.0, 1405.0)	(24.0, 1643.0)	(25.0, 1846.0)	(26.0, 2157.0)	(27.0, 2348.0)	(28.0, 2935.0)	(29.0, 3302.0)	(30.0, 4270.0)	(31.0, 5235.0)	(32.0, 6725.0)	(33.0, 8960.0)	(34.0, 12333.0)	(35.0, 17479.0)	(36.0, 27883.0)	(37.0, 50019.0)	(38.0, 140426.0)	(39.0, 790507.0)	(40.0, 96043.0)
PID-2861-27_R1	(16.0, 4.0)	(17.0, 25.0)	(18.0, 53.0)	(19.0, 92.0)	(20.0, 170.0)	(21.0, 247.0)	(22.0, 337.0)	(23.0, 424.0)	(24.0, 573.0)	(25.0, 746.0)	(26.0, 963.0)	(27.0, 1145.0)	(28.0, 1469.0)	(29.0, 1886.0)	(30.0, 2501.0)	(31.0, 3186.0)	(32.0, 4402.0)	(33.0, 5974.0)	(34.0, 8685.0)	(35.0, 12526.0)	(36.0, 20927.0)	(37.0, 38504.0)	(38.0, 109040.0)	(39.0, 843870.0)	(40.0, 149327.0)			
PID-2861-27_R2	(13.0, 10.0)	(14.0, 66.0)	(15.0, 413.0)	(16.0, 1366.0)	(17.0, 1331.0)	(18.0, 1060.0)	(19.0, 969.0)	(20.0, 876.0)	(21.0, 874.0)	(22.0, 921.0)	(23.0, 1047.0)	(24.0, 1235.0)	(25.0, 1381.0)	(26.0, 1614.0)	(27.0, 1829.0)	(28.0, 2256.0)	(29.0, 2759.0)	(30.0, 3241.0)	(31.0, 4238.0)	(32.0, 5686.0)	(33.0, 7812.0)	(34.0, 11057.0)	(35.0, 15840.0)	(36.0, 26155.0)	(37.0, 48658.0)	(38.0, 141154.0)	(39.0, 820098.0)	(40.0, 103130.0)
PID-2861-28_R1	(16.0, 3.0)	(17.0, 16.0)	(18.0, 35.0)	(19.0, 73.0)	(20.0, 126.0)	(21.0, 170.0)	(22.0, 247.0)	(23.0, 342.0)	(24.0, 404.0)	(25.0, 570.0)	(26.0, 699.0)	(27.0, 778.0)	(28.0, 1071.0)	(29.0, 1315.0)	(30.0, 1788.0)	(31.0, 2146.0)	(32.0, 3022.0)	(33.0, 4034.0)	(34.0, 5925.0)	(35.0, 8419.0)	(36.0, 13818.0)	(37.0, 24034.0)	(38.0, 64739.0)	(39.0, 673262.0)	(40.0, 168372.0)			
PID-2861-28_R2	(13.0, 7.0)	(14.0, 69.0)	(15.0, 334.0)	(16.0, 1099.0)	(17.0, 1238.0)	(18.0, 1131.0)	(19.0, 1030.0)	(20.0, 1084.0)	(21.0, 1006.0)	(22.0, 1066.0)	(23.0, 1124.0)	(24.0, 1326.0)	(25.0, 1382.0)	(26.0, 1719.0)	(27.0, 2062.0)	(28.0, 2405.0)	(29.0, 2919.0)	(30.0, 3548.0)	(31.0, 4329.0)	(32.0, 5596.0)	(33.0, 7323.0)	(34.0, 10389.0)	(35.0, 14471.0)	(36.0, 23302.0)	(37.0, 41609.0)	(38.0, 118010.0)	(39.0, 648882.0)	(40.0, 76948.0)
