Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
PID-2861-1_R1	(1, 0.00020230588244814394)	(2, 0.025288235306017995)	(3, 0.0022253647069295835)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09613834210319212)	(35, 0.09343281425989497)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.02602140856302e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.0482149806443686e-05)	(120, 0.00024618949944340656)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 2.0711120463332616e-05)	(145, 0.0)	(150, 0.0)
PID-2861-1_R2	(1, 0.0)	(2, 0.0)	(3, 0.0013149882359129355)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00022254245857220402)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.02602140856302e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.00014244211305142142)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.0482149806443686e-05)	(120, 0.00032825266592454214)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 6.691308525530019e-05)
PID-2861-20_R1	(1, 0.00028889710640658226)	(2, 0.029563803888940247)	(3, 0.0012518874610951897)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09445200407160556)	(35, 0.09081560502935472)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 1.92831005991645e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 1.9360012204551695e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.00033166447573015933)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
PID-2861-20_R2	(1, 0.0)	(2, 0.0)	(3, 0.0019259807093772148)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0002696427522435722)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 3.8566201198329e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.00011616007322731016)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.9480164030773203e-05)	(120, 0.0004682322010308132)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 6.348710545144728e-05)
PID-2861-21_R1	(1, 0.00018586876921418402)	(2, 0.02750857784369923)	(3, 0.0017657533075347482)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09841958042218005)	(35, 0.09333199497371611)	(40, 1.859073664492604e-05)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 3.723226510862048e-05)	(65, 0.0)	(70, 0.0)	(75, 1.865138894095735e-05)	(80, 0.0)	(85, 0.0)	(90, 7.47882883784048e-05)	(95, 0.0)	(100, 0.0)	(105, 3.752919771582291e-05)	(110, 7.515720067987204e-05)	(115, 0.00020701942651478466)	(120, 0.000433568044451658)	(125, 5.666091558373492e-05)	(130, 0.0)	(135, 0.0)	(140, 0.00022838167602460584)	(145, 0.0)	(150, 0.0)
PID-2861-21_R2	(1, 0.00018586876921418402)	(2, 0.0)	(3, 0.0017657533075347482)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0003159835443205025)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 9.308066277155119e-05)	(65, 3.725613068258447e-05)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 3.736335055098799e-05)	(90, 0.00022436486513521443)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.00011291968718988255)	(120, 0.0005655235362412931)	(125, 0.0)	(130, 0.00015139824798162478)	(135, 1.8970029818989874e-05)	(140, 0.0)	(145, 0.0)	(150, 0.00012291467570499248)
PID-2861-22_R1	(1, 9.93681181367683e-05)	(2, 0.027226864369474513)	(3, 0.0017886261264618293)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09330779409245402)	(35, 0.08770763485719635)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 1.9896969512470523e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 1.9972334322496476e-05)	(95, 0.0)	(100, 0.0)	(105, 6.011798756238995e-05)	(110, 2.006402430154623e-05)	(115, 0.0)	(120, 0.0003018716646954447)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.00010149141636346106)	(145, 0.0)	(150, 0.0)
PID-2861-22_R2	(1, 0.0)	(2, 0.0)	(3, 0.0012917855357779877)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00021861251012076553)	(35, 1.9874832281259088e-05)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 5.969090853741158e-05)	(65, 1.9907157001177908e-05)	(70, 0.0)	(75, 0.0)	(80, 1.9940274888653505e-05)	(85, 1.9957287413477677e-05)	(90, 7.98893372899859e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.00010047375384412583)	(120, 0.0004427451082199855)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 6.545967749326093e-05)
PID-2861-23_R1	(1, 0.00023793406609094554)	(2, 0.027124483534367794)	(3, 0.0022603736278639826)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09546119152793822)	(35, 0.09349159087280313)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00014294294265677088)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.00014343806702860873)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 7.20386530596857e-05)	(115, 0.0)	(120, 0.0006502420345350769)	(125, 0.0)	(130, 2.416694720464547e-05)	(135, 0.0)	(140, 2.4293248663263994e-05)	(145, 0.0)	(150, 0.0)
PID-2861-23_R2	(1, 0.0007138021982728366)	(2, 0.0)	(3, 0.002617274727000401)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00040449657427092466)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0001191191188806424)	(65, 2.3834890943456488e-05)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 4.7778479855995666e-05)	(90, 0.00031078247856198557)	(95, 0.0)	(100, 0.0)	(105, 2.398470926814737e-05)	(110, 0.0)	(115, 0.0)	(120, 0.0006261589962189629)	(125, 2.412413119957001e-05)	(130, 2.416694720464547e-05)	(135, 4.8438699614670144e-05)	(140, 0.0)	(145, 0.0)	(150, 0.000234860684556266)
PID-2861-24_R1	(1, 0.00010317883678242988)	(2, 0.030231399177251955)	(3, 0.0018572190620837381)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09736121796035883)	(35, 0.08849210525772706)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 6.197822085319219e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 4.147091530664528e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0004385633333486482)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
