strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
VU,stat,43501,-0.715518,363,263.5,0.46216658635853614,0.5022428531885303,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,44501,-0.71504,302.5,242.5,0.31895039508746686,0.6822337999107533,0.9412563256715453,1,Not significant
VU,stat,45501,-0.714562,299,307,-0.03809317117207437,0.9532560862362809,0.9847361633875307,1,Not significant
VU,stat,46501,-0.714083,346,276.5,0.3234925574020176,0.6133338082273221,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,47501,-0.713605,276.5,242.5,0.18929473316021694,0.8061591301279931,0.9473916682114255,1,Not significant
VU,stat,48501,-0.713127,318,304,0.06495544184076983,0.9194798389222404,0.9760605971069981,1,Not significant
VU,stat,49501,-0.712649,383.5,328,0.22553076288484972,0.7414420334915282,0.9412563256715453,1,Not significant
VU,stat,50501,-0.71217,308.5,272.5,0.1790142594851292,0.8181594523881939,0.9498145686756534,1,Not significant
VU,stat,51501,-0.711692,339.5,247.5,0.4559830492777598,0.546379863112862,0.9412563256715453,1,Not significant
VU,stat,52501,-0.711214,378.5,315,0.26494147159845277,0.690487680139956,0.9412563256715453,1,Not significant
VU,stat,53501,-0.710735,453.5,360,0.3331056441988477,0.5980788792743001,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,54501,-0.710257,388,301,0.3662931654274256,0.6067950885509132,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,55501,-0.709779,363.5,283.5,0.3586066289773655,0.6236083099563701,0.9412563256715453,1,Not significant
VU,stat,56501,-0.709301,415,324.5,0.3548928582351485,0.6491424485374018,0.9412563256715453,1,Not significant
VU,stat,57501,-0.708822,396.5,335.5,0.24100809950379498,0.7474865889456683,0.9412563256715453,1,Not significant
VU,stat,58501,-0.708344,359.5,283.5,0.342643035497069,0.6662621417176142,0.9412563256715453,1,Not significant
VU,stat,59501,-0.707866,385,342.5,0.16875445773437459,0.7383081814122817,0.9412563256715453,1,Not significant
VU,stat,60501,-0.707387,402.5,314.5,0.35592876612269003,0.5858493067245873,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,61501,-0.706909,384.5,317.5,0.27622700630229835,0.5446049728908432,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,62501,-0.706431,337,297,0.18228566038109273,0.7985337203913541,0.9464028985014319,1,Not significant
VU,stat,63501,-0.705953,403,324,0.3147860256433426,0.6157314004596881,0.9412563256715453,1,Not significant
VU,stat,64501,-0.705474,443.5,303,0.5496163108281129,0.4166099519351287,0.9412563256715453,0.3333333333333333,Not significant
VU,stat,65501,-0.704996,406.5,348,0.2241680462262995,0.7556916934674526,0.9412563256715453,1,Not significant
VU,stat,66501,-0.704518,375,299.5,0.3243345925944577,0.5980382182936154,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,67501,-0.704039,398.5,330,0.27211369974465593,0.6626200238605171,0.9412563256715453,1,Not significant
VU,stat,68501,-0.703561,464,354.5,0.38833917788805594,0.5589692237388764,0.9412563256715453,1,Not significant
VU,stat,69501,-0.703083,352.5,314.5,0.16456324040686676,0.804537132333446,0.9473916682114255,1,Not significant
VU,stat,70501,-0.702605,396,319.5,0.3096844991326151,0.646279178378075,0.9412563256715453,1,Not significant
VU,stat,71501,-0.702126,345.5,255,0.43818846352940066,0.49776928138319954,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,72501,-0.701648,383.5,303.5,0.33753006124725127,0.5307680996193888,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,73501,-0.70117,354,256.5,0.4647905344759433,0.526671482434613,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,74501,-0.700691,341.5,242,0.49687853101549595,0.33845351917713795,0.9412563256715453,0.3333333333333333,Not significant
VU,stat,75501,-0.700213,344,264.5,0.3791408425880722,0.4909402039067693,0.9412563256715453,0.6666666666666667,Not significant
VU,stat,76501,-0.699735,329.5,312.5,0.07642227545860236,0.887884975024456,0.9689537857721235,1,Not significant
VU,stat,77501,-0.699257,374.5,308,0.2820353677638496,0.6908432299096385,0.9412563256715453,1,Not significant
VU,stat,78501,-0.698778,358.5,283,0.3411710658700223,0.6164286925571592,0.9412563256715453,1,Not significant
VU,stat,79501,-0.6983,320,258,0.3107008394641082,0.6011464476018302,0.9412563256715453,1,Not significant
VU,stat,80501,-0.697822,331,268.5,0.301909128821805,0.6248199588385912,0.9412563256715453,1,Not significant
VU,stat,81501,-0.697343,358,270,0.40700018021342554,0.5423703828125666,0.9412563256715453,0.6666666666666667,Not significant
