strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,category
VU,stat,183501,-0.648558,394,321,0.29562233233407303,No substantial change
VU,stat,184501,-0.64808,358.5,312.5,0.19811692915245535,No substantial change
VU,stat,185501,-0.647601,399.5,278.5,0.520518175587945,No substantial change
VU,stat,186501,-0.647123,464.5,351.5,0.4021539073101175,No substantial change
VU,stat,187501,-0.646645,433.5,312.5,0.4721758036723856,No substantial change
VU,stat,188501,-0.646167,408.5,301,0.4405725913859814,No substantial change
VU,stat,189501,-0.645688,416,314.5,0.40352351126180286,No substantial change
VU,stat,190501,-0.64521,393.5,286.5,0.4578284967505815,No substantial change
VU,stat,191501,-0.644732,351.5,339.5,0.050113114827803625,No substantial change
VU,stat,192501,-0.644253,340,349.5,-0.03975770923773471,No substantial change
VU,stat,193501,-0.643775,332.5,413.5,-0.3145329887827227,No substantial change
VU,stat,194501,-0.643297,397.5,406.5,-0.03230049190331008,No substantial change
VU,stat,195501,-0.642819,439,419.5,0.06555012909553505,No substantial change
VU,stat,196501,-0.64234,300.5,299,0.007219506513080557,No substantial change
VU,stat,197501,-0.641862,297.5,286.5,0.0543545294384011,No substantial change
VU,stat,198501,-0.641384,241.5,281.5,-0.2211117332444565,No substantial change
VU,stat,199501,-0.640905,219.5,282,-0.3614742228634353,No substantial change
VU,stat,200501,-0.640427,234.5,274,-0.2245879704451501,No substantial change
VU,stat,201501,-0.639949,291.5,303,-0.05582191027245442,No substantial change
VU,stat,202501,-0.639471,356,367,-0.04390282187681501,No substantial change
VU,stat,203501,-0.638992,296.5,314.5,-0.08502791233328555,No substantial change
VU,stat,204501,-0.638514,292.5,335.5,-0.19787614172941662,No substantial change
VU,stat,205501,-0.638036,269.5,316,-0.22963928542459747,No substantial change
VU,stat,206501,-0.637557,275.5,339.5,-0.3013592556735742,No substantial change
VU,stat,207501,-0.637079,258.5,316,-0.28976027786216824,No substantial change
VU,stat,208501,-0.636601,324.5,354,-0.12553088208385899,No substantial change
VU,stat,209501,-0.636123,295.5,329.5,-0.1571203348305193,No substantial change
VU,stat,210501,-0.635644,343.5,392.5,-0.19238255496088918,No substantial change
VU,stat,211501,-0.635166,290,324.5,-0.16216557798420397,No substantial change
VU,stat,212501,-0.634688,301.5,363.5,-0.26979736201950955,No substantial change
VU,stat,213501,-0.634209,375,431.5,-0.20246996379571186,No substantial change
VU,stat,214501,-0.633731,305,260.5,0.2275258701717405,No substantial change
VU,stat,215501,-0.633253,318.5,252.5,0.3350099846171433,No substantial change
VU,stat,216501,-0.632775,373.5,311.5,0.26187607976523536,No substantial change
VU,stat,217501,-0.632296,340,280.5,0.27753397552890896,No substantial change
VU,stat,218501,-0.631818,413,374,0.14310351153180867,No substantial change
VU,stat,219501,-0.63134,409,341,0.2623291039175764,No substantial change
VU,stat,220501,-0.630861,352.5,295,0.2569083030369522,No substantial change
VU,stat,221501,-0.630383,367.5,308,0.2548138990288253,No substantial change
VU,stat,222501,-0.629905,384,295,0.3803913564719525,No substantial change
VU,stat,223501,-0.629427,395.5,328,0.2699818798547081,No substantial change
VU,stat,224501,-0.628948,356.5,337.5,0.07901457450569484,No substantial change
VU,stat,225501,-0.62847,360,322,0.16093621821505757,No substantial change
VU,stat,226501,-0.627992,349,316.5,0.1410215367813108,No substantial change
VU,stat,227501,-0.627513,383.5,303,0.3399087840299824,No substantial change
VU,stat,228501,-0.627035,310,257,0.27049985608035937,No substantial change
VU,stat,229501,-0.626557,391,294,0.4113524524709879,No substantial change
VU,stat,230501,-0.626079,388,299,0.3759111679890227,No substantial change
VU,stat,231501,-0.6256,425,327.5,0.3759679346002514,No substantial change
VU,stat,232501,-0.625122,413,290.5,0.5076036180149164,No substantial change
VU,stat,233501,-0.624644,405.5,359,0.17571807039422171,No substantial change
VU,stat,234501,-0.624165,388,336,0.20759541940836726,No substantial change
VU,stat,235501,-0.623687,385.5,352,0.13115543127773707,No substantial change
VU,stat,236501,-0.623209,342,292,0.22802795600588066,No substantial change
VU,stat,237501,-0.622731,325,300.5,0.11307472720463133,No substantial change
VU,stat,238501,-0.622252,364.5,295.5,0.30276068414940466,No substantial change
VU,stat,239501,-0.621774,346.5,358,-0.04710423512704263,No substantial change
VU,stat,240501,-0.621296,352.5,387,-0.13471030885825447,No substantial change
VU,stat,241501,-0.620817,447.5,399.5,0.16369217922364185,No substantial change
VU,stat,242501,-0.620339,392,281,0.4802835238942821,No substantial change
VU,stat,243501,-0.619861,378.5,272.5,0.474037070321443,No substantial change
VU,stat,244501,-0.619383,410.5,289,0.5063127292771259,No substantial change
VU,stat,245501,-0.618904,310.5,256.5,0.27563444261342734,No substantial change
VU,stat,246501,-0.618426,326,303,0.10555417075812652,No substantial change
VU,stat,247501,-0.617948,374,323,0.21150410519371182,No substantial change
VU,stat,248501,-0.617469,490,345.5,0.504096038614312,No substantial change
VU,stat,249501,-0.616991,351.5,273.5,0.36198385627997864,No substantial change
VU,stat,250501,-0.616513,340,308,0.14260439544280043,No substantial change
VU,stat,251501,-0.616034,397.5,335.5,0.2446420939715342,No substantial change
VU,stat,252501,-0.615556,352.5,290,0.28157035727122137,No substantial change
VU,stat,253501,-0.615078,385,311.5,0.30562628255826174,No substantial change
VU,stat,254501,-0.6146,308.5,245,0.3324887401468473,No substantial change
VU,stat,255501,-0.614121,299.5,281,0.09198587256785966,No substantial change
VU,stat,256501,-0.613643,373.5,288,0.37503943134692475,No substantial change
VU,stat,257501,-0.613165,499.5,363.5,0.45852931387282386,No substantial change
VU,stat,258501,-0.612686,288,307.5,-0.09451759878428978,No substantial change
VU,stat,259501,-0.612208,353,390,-0.1438059404784304,No substantial change
VU,stat,260501,-0.61173,445.5,357,0.31950135749282227,No substantial change
VU,stat,261501,-0.611252,412,274.5,0.5858381881780197,No substantial change
VU,stat,262501,-0.610773,506,380.5,0.4112409311907646,No substantial change
VU,stat,263501,-0.610295,506,373.5,0.43802914190507297,No substantial change
VU,stat,264501,-0.609817,367,300.5,0.2884150721320274,No substantial change
VU,stat,265501,-0.609338,297.5,242.5,0.29490492112081595,No substantial change
VU,stat,266501,-0.60886,325.5,232.5,0.48542682717024166,No substantial change
VU,stat,267501,-0.608382,368,298,0.30439343559485127,No substantial change
VU,stat,268501,-0.607904,380,293.5,0.37263891522089554,No substantial change
VU,stat,269501,-0.607425,374,285,0.3920763508355327,No substantial change
VU,stat,270501,-0.606947,429,327,0.39168701200146294,No substantial change
VU,stat,271501,-0.606469,382,268.5,0.5086505500503361,No substantial change
VU,stat,272501,-0.60599,358,247.5,0.5325310622972844,No substantial change
VU,stat,273501,-0.605512,390,306.5,0.3475870500588293,No substantial change
VU,stat,274501,-0.605034,416,296,0.49098635251214245,No substantial change
VU,stat,275501,-0.604556,366.5,298.5,0.2960822668690069,No substantial change
VU,stat,276501,-0.604077,403,340.5,0.2431250405158963,No substantial change
VU,stat,277501,-0.603599,393,314.5,0.32146929537931723,No substantial change
VU,stat,278501,-0.603121,321.5,259.5,0.30908419897006645,No substantial change
VU,stat,279501,-0.602642,435,376,0.21028273905845327,No substantial change
VU,stat,280501,-0.602164,420,306.5,0.45450225397534116,No substantial change
VU,stat,281501,-0.601686,447.5,358.5,0.31991456344971414,No substantial change
VU,stat,282501,-0.601208,497,388,0.35718919937515836,No substantial change
VU,stat,283501,-0.600729,405,319,0.3443654840071178,No substantial change
VU,stat,284501,-0.600251,375,303.5,0.30519407912756114,No substantial change
VU,stat,285501,-0.599773,276,231.5,0.25365607351793257,No substantial change
VU,stat,286501,-0.599294,314.5,258,0.285688951456035,No substantial change
VU,stat,287501,-0.598816,426,317,0.4263705900864311,No substantial change
VU,stat,288501,-0.598338,383.5,266.5,0.5250910447437576,No substantial change
VU,stat,289501,-0.59786,411.5,308.5,0.4156219412722078,No substantial change
VU,stat,290501,-0.597381,395,281,0.4912825228435392,No substantial change
VU,stat,291501,-0.596903,393,302.5,0.3775941700966497,No substantial change
VU,stat,292501,-0.596425,356.5,282.5,0.33565120914133806,No substantial change
VU,stat,293501,-0.595946,456.5,325.5,0.48795731681858645,No substantial change
VU,stat,294501,-0.595468,447.5,325.5,0.45923013898598336,No substantial change
VU,stat,295501,-0.59499,440,338.5,0.37834768994966295,No substantial change
VU,stat,296501,-0.594512,470.5,342,0.46019839784263894,No substantial change
VU,stat,297501,-0.594033,439,320,0.4561490346479958,No substantial change
VU,stat,298501,-0.593555,365,289.5,0.33433311577814284,No substantial change
VU,stat,299501,-0.593077,456,331,0.46220260735752405,No substantial change
VU,stat,300501,-0.592598,417.5,298,0.4864638668992531,No substantial change
VU,stat,301501,-0.59212,381.5,312,0.29013702797228225,No substantial change
VU,stat,302501,-0.591642,444.5,329.5,0.4319049538217183,No substantial change
VU,stat,303501,-0.591164,457,343.5,0.41188406623996965,No substantial change
VU,stat,304501,-0.590685,371,244.5,0.6015847216685696,No substantial change
VU,stat,305501,-0.590207,420,327,0.3610986921680402,No substantial change
VU,stat,306501,-0.589729,404,307,0.39611663738161523,No substantial change
VU,stat,307501,-0.58925,403,267.5,0.5912409472394582,No substantial change
VU,stat,308501,-0.588772,364,275.5,0.40188613162753867,No substantial change
VU,stat,309501,-0.588294,341,302.5,0.17283659686221553,No substantial change
VU,stat,310501,-0.587816,442.5,331.5,0.416668584857772,No substantial change
VU,stat,311501,-0.587337,482.5,357.5,0.4325857004896909,No substantial change
VU,stat,312501,-0.586859,418.5,318,0.39620085726598847,No substantial change
VU,stat,313501,-0.586381,394,300,0.3932331289604953,No substantial change
VU,stat,314501,-0.585902,475.5,392,0.27859168674535517,No substantial change
VU,stat,315501,-0.58542400000000006,401.5,353.5,0.18368977270791567,No substantial change
VU,stat,316501,-0.584946,285,293.5,-0.0423985840579482,No substantial change
VU,stat,317501,-0.584468,347,306.5,0.17904858888747935,No substantial change
