strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,category
mff,stat,128501,-0.933264,359.5,389.5,-0.11563155762237132,No substantial change
mff,stat,129501,-0.932742,254.5,341,-0.4221060829484772,No substantial change
mff,stat,130501,-0.932221,237,331.5,-0.4841218112143286,No substantial change
mff,stat,131501,-0.9317,317.5,391.5,-0.3022557156315124,No substantial change
mff,stat,132501,-0.931178,321.5,363.5,-0.17713662659164714,No substantial change
mff,stat,133501,-0.930657,260,342.5,-0.3975923648194346,No substantial change
mff,stat,134501,-0.930136,276.5,344,-0.3151290844673909,No substantial change
mff,stat,135501,-0.929614,288.5,319.5,-0.14724461230151187,No substantial change
mff,stat,136501,-0.929093,214.5,315.5,-0.5566623574830034,No substantial change
mff,stat,137501,-0.928571,231.5,344.5,-0.5734917894440549,No substantial change
mff,stat,138501,-0.92805,270.5,328,-0.2780672207912684,No substantial change
mff,stat,139501,-0.927529,250.5,320,-0.3532613016921539,No substantial change
mff,stat,140501,-0.927007,303,386.5,-0.35115062045189643,No substantial change
mff,stat,141501,-0.926486,209.5,290.5,-0.4715879197051772,No substantial change
mff,stat,142501,-0.925965,238,283,-0.24984047952393884,No substantial change
mff,stat,143501,-0.925443,288,323,-0.1654653532516126,No substantial change
mff,stat,144501,-0.924922,281,389,-0.4692000247652658,No substantial change
mff,stat,145501,-0.9244,321.5,398.5,-0.30976098666252444,No substantial change
mff,stat,146501,-0.923879,288.5,328.5,-0.1873220516768471,No substantial change
mff,stat,147501,-0.923358,229.5,311,-0.43842042671679465,No substantial change
mff,stat,148501,-0.922836,236.5,319.5,-0.43397574760759916,No substantial change
mff,stat,149501,-0.922315,333.5,387.5,-0.216509548977015,No substantial change
mff,stat,150501,-0.921794,297.5,412.5,-0.4715044509378723,No substantial change
mff,stat,151501,-0.921272,260,324.5,-0.319706854970684,No substantial change
mff,stat,152501,-0.920751,259,307.5,-0.2476343125400483,No substantial change
mff,stat,153501,-0.920229,279,347,-0.3146705407490733,No substantial change
mff,stat,154501,-0.919708,283,326,-0.20406991139919525,No substantial change
mff,stat,155501,-0.919187,253,336.5,-0.411469119916007,No substantial change
mff,stat,156501,-0.918665,272.5,368,-0.4334495363927242,No substantial change
mff,stat,157501,-0.918144,238,319.5,-0.42485435763905094,No substantial change
mff,stat,158501,-0.917623,322.5,355.5,-0.14055039930879878,No substantial change
mff,stat,159501,-0.917101,288,358,-0.31389077582194397,No substantial change
mff,stat,160501,-0.91658,333,417,-0.32452520637340143,No substantial change
mff,stat,161501,-0.916058,323,404.5,-0.32460553773605255,No substantial change
mff,stat,162501,-0.915537,269.5,350.5,-0.3791291712581177,No substantial change
mff,stat,163501,-0.915016,290.5,362.5,-0.319442831497768,No substantial change
mff,stat,164501,-0.914494,254.5,304.5,-0.2587765718306371,No substantial change
mff,stat,165501,-0.913973,280,342,-0.2885694979409315,No substantial change
mff,stat,166501,-0.913452,297,359,-0.27352091302228543,No substantial change
mff,stat,167501,-0.91293,273,326,-0.255971013311225,No substantial change
mff,stat,168501,-0.912409,259,305.5,-0.23822028213217572,No substantial change
mff,stat,169501,-0.911887,350.5,442,-0.3346319253808085,No substantial change
mff,stat,170501,-0.911366,279.5,337,-0.2699003083386683,No substantial change
mff,stat,171501,-0.910845,249.5,289.5,-0.21452353265197602,No substantial change
mff,stat,172501,-0.910323,271.5,336,-0.30750903497439874,No substantial change
mff,stat,173501,-0.909802,218.5,327,-0.5816573559974841,No substantial change
mff,stat,174501,-0.909281,264.5,364,-0.4606707280846706,No substantial change
mff,stat,175501,-0.908759,313.5,376.5,-0.26418442186988916,No substantial change
mff,stat,176501,-0.908238,301.5,370,-0.2953672686162273,No substantial change
mff,stat,177501,-0.907716,255.5,303,-0.2459945025353295,No substantial change
mff,stat,178501,-0.907195,249,313.5,-0.33231970073395795,No substantial change
mff,stat,179501,-0.906674,272.5,343,-0.33195234650852373,No substantial change
mff,stat,180501,-0.906152,238.5,294,-0.30182688883085296,No substantial change
mff,stat,181501,-0.905631,202.5,280,-0.4675049191729794,No substantial change
mff,stat,182501,-0.905109,256,321.5,-0.32867492732794734,No substantial change
mff,stat,183501,-0.904588,251,300,-0.25727513654510886,No substantial change
mff,stat,184501,-0.904067,218.5,284.5,-0.3807953728059835,No substantial change
mff,stat,185501,-0.903545,202.5,284,-0.487969021732695,No substantial change
mff,stat,186501,-0.903024,206,294.5,-0.5156232966472423,No substantial change
mff,stat,187501,-0.902503,224.5,252,-0.16670828875876945,No substantial change
mff,stat,188501,-0.901981,237,280.5,-0.24311371171053367,No substantial change
mff,stat,189501,-0.90146,240,306,-0.35049724708413327,No substantial change
mff,stat,190501,-0.900938,237,331,-0.4819441579089585,No substantial change
mff,stat,191501,-0.900417,257,306,-0.25176329349877363,No substantial change
mff,stat,192501,-0.899896,255,358.5,-0.49147587184304686,No substantial change
mff,stat,193501,-0.899374,323,372,-0.20376845641410649,No substantial change
mff,stat,194501,-0.898853,322,413.5,-0.3608266410566577,No substantial change
mff,stat,195501,-0.898332,243.5,323,-0.40761239261158266,No substantial change
mff,stat,196501,-0.89781,258,292,-0.17859730345676314,No substantial change
mff,stat,197501,-0.897289,241,314,-0.38173141266166527,No substantial change
mff,stat,198501,-0.896767,225.5,283,-0.32767461957650135,No substantial change
mff,stat,199501,-0.896246,255.5,323.5,-0.34044242105488615,No substantial change
mff,stat,200501,-0.895725,299,361,-0.271853352689066,No substantial change
mff,stat,201501,-0.895203,262.5,312.5,-0.25153876699596445,No substantial change
mff,stat,202501,-0.894682,258,327.5,-0.3441238410015584,No substantial change
mff,stat,203501,-0.894161,258.5,318.5,-0.3011290919413658,No substantial change
mff,stat,204501,-0.893639,301,343,-0.1884450894131103,No substantial change
mff,stat,205501,-0.893118,287,342.5,-0.2550532511722012,No substantial change
mff,stat,206501,-0.892596,359,412.5,-0.2004102753101267,No substantial change
mff,stat,207501,-0.892075,332.5,370,-0.15417093012776012,No substantial change
mff,stat,208501,-0.891554,388,446,-0.20098705773317713,No substantial change
mff,stat,209501,-0.891032,342.5,410.5,-0.2612782339299158,No substantial change
mff,stat,210501,-0.890511,294.5,359.5,-0.287724136608837,No substantial change
mff,stat,211501,-0.88999,298.5,327.5,-0.13376397516000763,No substantial change
mff,stat,212501,-0.889468,227,283,-0.31810975554096727,No substantial change
mff,stat,213501,-0.888947,258,314.5,-0.2856889514560351,No substantial change
mff,stat,214501,-0.888425,273.5,330,-0.27092519145325933,No substantial change
mff,stat,215501,-0.887904,267,355,-0.41097928270449047,No substantial change
mff,stat,216501,-0.887383,303,339.5,-0.1640937807717808,No substantial change
mff,stat,217501,-0.886861,295.5,363,-0.29681141781821835,No substantial change
mff,stat,218501,-0.88634,319,363.5,-0.18839894015472491,No substantial change
mff,stat,219501,-0.885819,259,320.5,-0.30737225893218706,No substantial change
mff,stat,220501,-0.885297,284.5,351.5,-0.30509603676595337,No substantial change
mff,stat,221501,-0.884776,276.5,363,-0.3926900677610437,No substantial change
mff,stat,222501,-0.884254,295,357,-0.27520911977989615,No substantial change
mff,stat,223501,-0.883733,267.5,343,-0.358669684884303,No substantial change
mff,stat,224501,-0.883212,322.5,352.5,-0.12832409697553945,No substantial change
mff,stat,225501,-0.88269,236.5,300.5,-0.3455248073717903,No substantial change
mff,stat,226501,-0.882169,267,356,-0.4150374992788438,No substantial change
mff,stat,227501,-0.881648,233.5,282.5,-0.27482831759288817,No substantial change
mff,stat,228501,-0.881126,232,309.5,-0.4158146040866926,No substantial change
mff,stat,229501,-0.880605,267.5,302.5,-0.1773962508734475,No substantial change
mff,stat,230501,-0.880083,262,315.5,-0.26807319344509867,No substantial change
mff,stat,231501,-0.879562,216.5,298.5,-0.4633639065380802,No substantial change
