strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
mff,stat,119501,-0.937956,257,342,-0.4122279656920197,0.3268529313852205,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,120501,-0.937435,350.5,422.5,-0.26953689715892354,0.3948534058471397,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,121501,-0.936913,329,373,-0.18108804651999624,0.4404707406436127,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,122501,-0.936392,243.5,313.5,-0.3645436707196968,0.17044213189221685,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,123501,-0.935871,260.5,343,-0.39692520389430413,0.1548763779755884,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,124501,-0.935349,265.5,343,-0.36949671536865863,0.3025841498290547,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,125501,-0.934828,242,266.5,-0.1391284854845814,0.6762615757632782,0.7138316633056825,0.6666666666666666,Not significant
mff,stat,126501,-0.934307,232,333.5,-0.523561956057013,0.1500804552213857,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,127501,-0.933785,372,473.5,-0.34806180436035367,0.13766438457629343,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,128501,-0.933264,359.5,389.5,-0.11563155762237132,0.7362534987668403,0.758272294991643,1,Not significant
mff,stat,129501,-0.932742,254.5,341,-0.4221060829484772,0.2125244360809577,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,130501,-0.932221,237,331.5,-0.4841218112143286,0.3086039540812475,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,131501,-0.9317,317.5,391.5,-0.3022557156315124,0.487542924152926,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,132501,-0.931178,321.5,363.5,-0.17713662659164714,0.4139578190100712,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,133501,-0.930657,260,342.5,-0.3975923648194346,0.22280147108680895,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,134501,-0.930136,276.5,344,-0.3151290844673909,0.5429568458947431,0.651291632474818,0.6666666666666666,Not significant
mff,stat,135501,-0.929614,288.5,319.5,-0.14724461230151187,0.7416008493558355,0.7617455328802817,1,Not significant
mff,stat,136501,-0.929093,214.5,315.5,-0.5566623574830034,0.09095830667166077,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,137501,-0.928571,231.5,344.5,-0.5734917894440549,0.1420032757460324,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,138501,-0.92805,270.5,328,-0.2780672207912684,0.5479868543871653,0.651291632474818,0.6666666666666666,Not significant
mff,stat,139501,-0.927529,250.5,320,-0.3532613016921539,0.37456538826615887,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,140501,-0.927007,303,386.5,-0.35115062045189643,0.43794280521164675,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,141501,-0.926486,209.5,290.5,-0.4715879197051772,0.31241578981839624,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,142501,-0.925965,238,283,-0.24984047952393884,0.5201763494166888,0.6503465388653931,1,Not significant
mff,stat,143501,-0.925443,288,323,-0.1654653532516126,0.6476403336452543,0.6950330458736076,0.6666666666666666,Not significant
mff,stat,144501,-0.924922,281,389,-0.4692000247652658,0.3777388558144985,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,145501,-0.9244,321.5,398.5,-0.30976098666252444,0.3769964341912214,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,146501,-0.923879,288.5,328.5,-0.1873220516768471,0.42208907400222473,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,147501,-0.923358,229.5,311,-0.43842042671679465,0.19892240969359684,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,148501,-0.922836,236.5,319.5,-0.43397574760759916,0.09319359976190511,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,149501,-0.922315,333.5,387.5,-0.216509548977015,0.4853271252047108,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,150501,-0.921794,297.5,412.5,-0.4715044509378723,0.32285005963462593,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,151501,-0.921272,260,324.5,-0.319706854970684,0.3284776700269969,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,152501,-0.920751,259,307.5,-0.2476343125400483,0.388231631976427,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,153501,-0.920229,279,347,-0.3146705407490733,0.4247698247754319,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,154501,-0.919708,283,326,-0.20406991139919525,0.46233086658796746,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,155501,-0.919187,253,336.5,-0.411469119916007,0.21541008663798994,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,156501,-0.918665,272.5,368,-0.4334495363927242,0.2139576472125368,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,157501,-0.918144,238,319.5,-0.42485435763905094,0.2690107294313473,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,158501,-0.917623,322.5,355.5,-0.14055039930879878,0.7174845835823709,0.743109032996027,0.6666666666666666,Not significant
mff,stat,159501,-0.917101,288,358,-0.31389077582194397,0.36934984298686924,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,160501,-0.91658,333,417,-0.32452520637340143,0.17737555213179643,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,161501,-0.916058,323,404.5,-0.32460553773605255,0.18869105464002056,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,162501,-0.915537,269.5,350.5,-0.3791291712581177,0.4350362838995159,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,163501,-0.915016,290.5,362.5,-0.319442831497768,0.2665281924600859,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,164501,-0.914494,254.5,304.5,-0.2587765718306371,0.43924583642061404,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,165501,-0.913973,280,342,-0.2885694979409315,0.4183630330015,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,166501,-0.913452,297,359,-0.27352091302228543,0.5054381603788758,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,167501,-0.91293,273,326,-0.255971013311225,0.5391910841438123,0.651291632474818,0.6666666666666666,Not significant
mff,stat,168501,-0.912409,259,305.5,-0.23822028213217572,0.5558684953732356,0.6533539120520673,0.6666666666666666,Not significant
mff,stat,169501,-0.911887,350.5,442,-0.3346319253808085,0.4189600188620381,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,170501,-0.911366,279.5,337,-0.2699003083386683,0.37634190765451203,0.6491329038022193,0.6666666666666666,Not significant
mff,stat,171501,-0.910845,249.5,289.5,-0.21452353265197602,0.6364486631345979,0.687462589187513,0.6666666666666666,Not significant
mff,stat,172501,-0.910323,271.5,336,-0.30750903497439874,0.22805366435211352,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,173501,-0.909802,218.5,327,-0.5816573559974841,0.04490429069134883,0.6491329038022193,0.3333333333333333,Not significant
mff,stat,174501,-0.909281,264.5,364,-0.4606707280846706,0.06523302535018417,0.6491329038022193,0.3333333333333333,Not significant
