strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,category
Lac-4,stat,190501,-0.841982,408,450.5,-0.14295795384204296,No substantial change
Lac-4,stat,191501,-0.841153,377,428.5,-0.18473068084383562,No substantial change
Lac-4,stat,192501,-0.840324,404,506.5,-0.3262069760493434,No substantial change
Lac-4,stat,193501,-0.839496,360.5,402.5,-0.15898952376115677,No substantial change
Lac-4,stat,194501,-0.838667,395,428.5,-0.11744255104803458,No substantial change
Lac-4,stat,195501,-0.837838,406.5,479.5,-0.23827546294310314,No substantial change
Lac-4,stat,196501,-0.837009,389,440.5,-0.17937186393422164,No substantial change
Lac-4,stat,197501,-0.836181,354,341.5,0.05186378179290686,No substantial change
Lac-4,stat,198501,-0.835352,316,292.5,0.11148793370633597,No substantial change
Lac-4,stat,199501,-0.834523,373.5,367,0.025328179946024484,No substantial change
Lac-4,stat,200501,-0.833695,405,399.5,0.019726404844010406,No substantial change
Lac-4,stat,201501,-0.832866,373.5,394.5,-0.07891705722422143,No substantial change
Lac-4,stat,202501,-0.832037,444.5,448.5,-0.012924566089491298,No substantial change
Lac-4,stat,203501,-0.831208,480,475.5,0.01358906474795501,No substantial change
Lac-4,stat,204501,-0.83038,522.5,531,-0.023280823835908442,No substantial change
Lac-4,stat,205501,-0.829551,420.5,486.5,-0.21033400452596726,No substantial change
Lac-4,stat,206501,-0.828722,423.5,451,-0.09076546392318241,No substantial change
Lac-4,stat,207501,-0.827893,353.5,397,-0.16742879233355892,No substantial change
Lac-4,stat,208501,-0.827065,393,451.5,-0.2001966752222517,No substantial change
Lac-4,stat,209501,-0.826236,453,529,-0.22375667206779074,No substantial change
Lac-4,stat,210501,-0.825407,400,504,-0.33342373372519185,No substantial change
Lac-4,stat,211501,-0.824579,371.5,448,-0.2701365215190079,No substantial change
Lac-4,stat,212501,-0.82375,433.5,482,-0.15300115300812658,No substantial change
Lac-4,stat,213501,-0.822921,524,555.5,-0.08422009985164165,No substantial change
Lac-4,stat,214501,-0.822092,429.5,501.5,-0.22359156947371714,No substantial change
Lac-4,stat,215501,-0.821264,354.5,423.5,-0.2565763420926826,No substantial change
Lac-4,stat,216501,-0.820435,348,424.5,-0.28667724770431013,No substantial change
Lac-4,stat,217501,-0.819606,409.5,447,-0.1264113795423092,No substantial change
Lac-4,stat,218501,-0.818778,482.5,497.5,-0.044167583275568446,No substantial change
Lac-4,stat,219501,-0.817949,481,438.5,0.1334600513253088,No substantial change
Lac-4,stat,220501,-0.81712,417.5,286.5,0.5432410586045098,No substantial change
Lac-4,stat,221501,-0.816291,345,255.5,0.4332730707279101,No substantial change
Lac-4,stat,222501,-0.815463,340,270.5,0.3299061523108864,No substantial change
Lac-4,stat,223501,-0.814634,365.5,271,0.43157855459856587,No substantial change
Lac-4,stat,224501,-0.813805,406.5,339,0.26197007893868385,No substantial change
Lac-4,stat,225501,-0.812976,332.5,266.5,0.3192188076293762,No substantial change
Lac-4,stat,226501,-0.812148,581.5,364,0.6758407412745222,No substantial change
Lac-4,stat,227501,-0.811319,629.5,444.5,0.5020229588892465,No substantial change
Lac-4,stat,228501,-0.81049,465,394,0.23903508653901753,No substantial change
Lac-4,stat,229501,-0.809662,435,315,0.4656635723488118,No substantial change
Lac-4,stat,230501,-0.808833,501,303.5,0.7231140869395263,No substantial change
Lac-4,stat,231501,-0.80800399999999994,405,276,0.5532536409938181,No substantial change
Lac-4,stat,232501,-0.807175,361.5,268.5,0.42907355896570515,No substantial change
Lac-4,stat,233501,-0.806347,393,263.5,0.5767263506213919,No substantial change
Lac-4,stat,234501,-0.805518,387,264,0.5517956367859568,No substantial change
Lac-4,stat,235501,-0.804689,351,267.5,0.3919321390160514,No substantial change
Lac-4,stat,236501,-0.803861,584,414.5,0.4945962673842669,No substantial change
Lac-4,stat,237501,-0.803032,490,346,0.5020097113658459,No substantial change
Lac-4,stat,238501,-0.802203,418.5,278,0.5901427398268363,No substantial change
Lac-4,stat,239501,-0.801374,410.5,315,0.382030393390526,No substantial change
Lac-4,stat,240501,-0.800546,346.5,245,0.5000736031346432,No substantial change
Lac-4,stat,241501,-0.799717,363.5,268.5,0.43703327593418173,No substantial change
Lac-4,stat,242501,-0.798888,361.5,274.5,0.39718949794591907,No substantial change
Lac-4,stat,243501,-0.798059,455.5,323,0.4959168891081259,No substantial change
Lac-4,stat,244501,-0.797231,474,355.5,0.41503749927884376,No substantial change
Lac-4,stat,245501,-0.796402,374.5,299,0.32482023426064593,No substantial change
Lac-4,stat,246501,-0.795573,328,228.5,0.5215016495600141,No substantial change
Lac-4,stat,247501,-0.794745,404.5,288.5,0.487568383784495,No substantial change
Lac-4,stat,248501,-0.793916,376,279,0.4304675398484499,No substantial change
Lac-4,stat,249501,-0.793087,396.5,244.5,0.6974864007517447,No substantial change
Lac-4,stat,250501,-0.792258,382.5,269,0.50785357502339,No substantial change
Lac-4,stat,251501,-0.79143,420.5,310.5,0.43751253203466284,No substantial change
Lac-4,stat,252501,-0.790601,417,302.5,0.4631122412827066,No substantial change
Lac-4,stat,253501,-0.789772,431.5,311.5,0.47012839615495317,No substantial change
Lac-4,stat,254501,-0.788944,363,302,0.2654209986706718,No substantial change
Lac-4,stat,255501,-0.788115,320.5,246,0.38166604127950104,No substantial change
Lac-4,stat,256501,-0.787286,331.5,252.5,0.39272548247343075,No substantial change
Lac-4,stat,257501,-0.786457,363,253.5,0.5179838009924101,No substantial change
Lac-4,stat,258501,-0.785629,362.5,253.5,0.5159952478989563,No substantial change
Lac-4,stat,259501,-0.7848,342.5,235.5,0.5403769282351057,No substantial change
Lac-4,stat,260501,-0.783971,394,336,0.22973439667761605,No substantial change
Lac-4,stat,261501,-0.783142,479.5,341.5,0.4896452367280403,No substantial change
Lac-4,stat,262501,-0.782314,438.5,315,0.47722501405745416,No substantial change
Lac-4,stat,263501,-0.781485,411.5,290,0.5048395304066912,No substantial change
Lac-4,stat,264501,-0.780656,430.5,305.5,0.49484085757811447,No substantial change
Lac-4,stat,265501,-0.779828,323.5,226.5,0.5142546619462725,No substantial change
Lac-4,stat,266501,-0.778999,389.5,267.5,0.5420844367731598,No substantial change
Lac-4,stat,267501,-0.77817,407.5,319.5,0.3509841281714455,No substantial change
Lac-4,stat,268501,-0.777341,440.5,292.5,0.5907053944496468,No substantial change
Lac-4,stat,269501,-0.776513,431,274.5,0.6508817200838994,No substantial change
Lac-4,stat,270501,-0.775684,405,284,0.512030978267305,No substantial change
Lac-4,stat,271501,-0.774855,428,290,0.5615578963862126,No substantial change
Lac-4,stat,272501,-0.774027,403.5,290,0.47651577326284583,No substantial change
Lac-4,stat,273501,-0.773198,414.5,283,0.550570048663868,No substantial change
Lac-4,stat,274501,-0.772369,377,276.5,0.44728504303395733,No substantial change
Lac-4,stat,275501,-0.77154,402,254.5,0.6595298451032333,No substantial change
Lac-4,stat,276501,-0.770712,418.5,293,0.5143269581280959,No substantial change
Lac-4,stat,277501,-0.769883,367.5,300,0.29278174922784594,No substantial change
Lac-4,stat,278501,-0.769054,419,321.5,0.38213150637140425,No substantial change
Lac-4,stat,279501,-0.768225,419,334,0.3271021412252993,No substantial change
Lac-4,stat,280501,-0.767397,331.5,267,0.31216912842503386,No substantial change
Lac-4,stat,281501,-0.766568,438,320.5,0.4506065129824325,No substantial change
Lac-4,stat,282501,-0.765739,435,328,0.4073195861180069,No substantial change
Lac-4,stat,283501,-0.764911,501.5,388.5,0.36833510220447063,No substantial change
Lac-4,stat,284501,-0.764082,400,345.5,0.2113142893864661,No substantial change
Lac-4,stat,285501,-0.763253,457,351,0.3807231347535089,No substantial change
Lac-4,stat,286501,-0.762424,430.5,334,0.3661651349227918,No substantial change
Lac-4,stat,287501,-0.761596,372.5,267,0.48040068366197,No substantial change
Lac-4,stat,288501,-0.760767,435,309,0.49340856283171614,No substantial change
Lac-4,stat,289501,-0.759938,428,335.5,0.35129803020096334,No substantial change
Lac-4,stat,290501,-0.75911,328,257.5,0.3491233825475029,No substantial change
Lac-4,stat,291501,-0.758281,436.5,355.5,0.2961320940100249,No substantial change
Lac-4,stat,292501,-0.757452,445.5,364.5,0.289506617194985,No substantial change
Lac-4,stat,293501,-0.756623,352.5,257,0.4558548980922778,No substantial change
Lac-4,stat,294501,-0.755795,345,263.5,0.3887934000283168,No substantial change
Lac-4,stat,295501,-0.754966,357,266.5,0.4217885412699239,No substantial change
Lac-4,stat,296501,-0.754137,401.5,285.5,0.49190924215447174,No substantial change
Lac-4,stat,297501,-0.753308,352,243,0.5346191150315164,No substantial change
Lac-4,stat,298501,-0.75248,351.5,295.5,0.2503665588950028,No substantial change
Lac-4,stat,299501,-0.751651,390,279,0.4832090019204232,No substantial change
Lac-4,stat,300501,-0.750822,356,260,0.4533656179379433,No substantial change
Lac-4,stat,301501,-0.749994,368.5,284.5,0.37323596678848786,No substantial change
Lac-4,stat,302501,-0.749165,454,336.5,0.432085792680598,No substantial change
Lac-4,stat,303501,-0.748336,433,345.5,0.32568131433846637,No substantial change
Lac-4,stat,304501,-0.747507,377,266,0.5031382777674748,No substantial change
Lac-4,stat,305501,-0.746679,352,279,0.3353103068081096,No substantial change
Lac-4,stat,306501,-0.74585,309.5,243.5,0.3460176371319225,No substantial change
Lac-4,stat,307501,-0.745021,373,300.5,0.31181063954405236,No substantial change
Lac-4,stat,308501,-0.744193,421,320.5,0.393495876447655,No substantial change
Lac-4,stat,309501,-0.743364,453,343.5,0.3992009512281349,No substantial change
Lac-4,stat,310501,-0.742535,459,367.5,0.32074990369008133,No substantial change
Lac-4,stat,311501,-0.741706,385.5,289,0.4156613674143554,No substantial change
Lac-4,stat,312501,-0.740878,417.5,383,0.12443180543645757,No substantial change
Lac-4,stat,313501,-0.740049,354.5,297.5,0.25289595904421025,No substantial change
Lac-4,stat,314501,-0.73922,373.5,399.5,-0.09708726013873971,No substantial change
Lac-4,stat,315501,-0.738391,310,349.5,-0.17302424010119885,No substantial change
Lac-4,stat,316501,-0.737563,265.5,330,-0.3137541634416621,No substantial change
Lac-4,stat,317501,-0.736734,335.5,384,-0.19479354452097272,No substantial change
Lac-4,stat,318501,-0.735905,345,380,-0.13940305666541636,No substantial change
Lac-4,stat,319501,-0.735077,334,338,-0.017175143808132023,No substantial change
Lac-4,stat,320501,-0.734248,318.5,332,-0.059889869090624305,No substantial change
Lac-4,stat,321501,-0.733419,421,443,-0.07348646548862228,No substantial change
Lac-4,stat,322501,-0.73259,402,415,-0.04591583505535844,No substantial change
Lac-4,stat,323501,-0.731762,391,393.5,-0.009195028200134068,No substantial change
Lac-4,stat,324501,-0.730933,390,392.5,-0.009218530029378662,No substantial change
Lac-4,stat,325501,-0.730104,301.5,299,0.012012517701979914,No substantial change
Lac-4,stat,326501,-0.729276,320.5,316.5,0.018118857190399688,No substantial change
Lac-4,stat,327501,-0.728447,304,329,-0.11401626029165596,No substantial change
Lac-4,stat,328501,-0.727618,316.5,331.5,-0.06680337068424635,No substantial change
Lac-4,stat,329501,-0.726789,340.5,411,-0.27148359566961167,No substantial change
Lac-4,stat,330501,-0.725961,328,330,-0.008770209627732149,No substantial change
Lac-4,stat,331501,-0.725132,367.5,375,-0.029146345659516508,No substantial change
Lac-4,stat,332501,-0.724303,336,356,-0.0834160081876375,No substantial change
Lac-4,stat,333501,-0.723474,312,352,-0.17402939977504894,No substantial change
Lac-4,stat,334501,-0.722646,483.5,499.5,-0.046968788315577215,No substantial change
Lac-4,stat,335501,-0.721817,395.5,430.5,-0.12233554292405216,No substantial change
Lac-4,stat,336501,-0.720988,364,394,-0.11425717925768,No substantial change
Lac-4,stat,337501,-0.72016,381.5,360,0.08368615050485577,No substantial change
Lac-4,stat,338501,-0.719331,401,481.5,-0.2639335613885389,No substantial change
Lac-4,stat,339501,-0.718502,416.5,445,-0.09548884048821252,No substantial change
Lac-4,stat,340501,-0.717673,366,451,-0.3012837849713385,No substantial change
Lac-4,stat,341501,-0.716845,354.5,388,-0.1302710249476116,No substantial change
Lac-4,stat,342501,-0.716016,421,429.5,-0.028837898072067398,No substantial change
Lac-4,stat,343501,-0.715187,355.5,352.5,0.012226302333259404,No substantial change
Lac-4,stat,344501,-0.714359,387,451.5,-0.22239242133644802,No substantial change
Lac-4,stat,345501,-0.71353,471,475,-0.012200453605527073,No substantial change
Lac-4,stat,346501,-0.712701,377,367.5,0.03682027354493745,No substantial change
Lac-4,stat,347501,-0.711872,328.5,387.5,-0.23830293983927026,No substantial change
Lac-4,stat,348501,-0.711044,375.5,390.5,-0.0565096406277075,No substantial change
Lac-4,stat,349501,-0.710215,380.5,337,0.17514786232168691,No substantial change
