strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
Lac-4,stat,821501,-0.319058,407.5,431.5,-0.08256050006051517,0.6573685794798223,0.9797836373613166,0.6666666666666666,Not significant
Lac-4,stat,822501,-0.318229,355.5,420.5,-0.24225624063572887,0.1475672931045876,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,823501,-0.317401,388.5,405.5,-0.06178731580956294,0.45956830191038456,0.9756484734232224,0.6666666666666666,Not significant
Lac-4,stat,824501,-0.316572,340,371.5,-0.12782746440089443,0.49487876844791134,0.9756484734232224,0.41421617824252505,Not significant
Lac-4,stat,825501,-0.315743,329.5,368,-0.15942730104896122,0.696324908747131,0.9805138400119019,1,Not significant
Lac-4,stat,826501,-0.314914,323,372.5,-0.2057062606555991,0.4998734184547087,0.9756484734232224,0.6666666666666666,Not significant
Lac-4,stat,827501,-0.314086,373.5,416,-0.1554752853518551,0.6240377753026642,0.9794297259474823,1,Not significant
Lac-4,stat,828501,-0.313257,318,362,-0.18696293179885004,0.33370973101470114,0.9756484734232224,0.41421617824252505,Not significant
Lac-4,stat,829501,-0.312428,342.5,398.5,-0.21847573614258275,0.4767411415816508,0.9756484734232224,0.6666666666666666,Not significant
Lac-4,stat,830501,-0.3116,347.5,410,-0.2386109318945763,0.21385138961802222,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,831501,-0.310771,317,355.5,-0.1653667194800081,0.42847894562047245,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,832501,-0.309942,368,352,0.06413033741971556,0.63636170136443,0.9797836373613166,0.6666666666666667,Not significant
Lac-4,stat,833501,-0.309113,377,341.5,0.14267894497857392,0.5925044505975272,0.9788484046992368,0.6666666666666667,Not significant
Lac-4,stat,834501,-0.308285,335.5,348.5,-0.05484588966823964,0.8433383693037004,0.9913046107799296,1,Not significant
Lac-4,stat,835501,-0.307456,269,308.5,-0.19766431659279377,0.19185629269035212,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,836501,-0.306627,302.5,331,-0.12989607464526085,0.3934113350774673,0.9756484734232224,0.6666666666666666,Not significant
Lac-4,stat,837501,-0.305798,392.5,409.5,-0.06117079786201922,0.7303091796343,0.9872282038543665,1,Not significant
Lac-4,stat,838501,-0.30497,348.5,347.5,0.0041456782575533604,0.9584382664515807,0.9913046107799296,1,Not significant
Lac-4,stat,839501,-0.304141,382,428,-0.1640381583653982,0.5493917227146086,0.9788484046992368,1,Not significant
Lac-4,stat,840501,-0.303312,320.5,356.5,-0.15357771982514704,0.5116766916386701,0.9768331512501587,0.6666666666666666,Not significant
Lac-4,stat,841501,-0.302484,337,330,0.030282566936042716,0.9023679842597978,0.9913046107799296,1,Not significant
Lac-4,stat,842501,-0.301655,321.5,333.5,-0.052868023856637754,0.8260500349303107,0.9913046107799296,0.6666666666666666,Not significant
Lac-4,stat,843501,-0.300826,330.5,386,-0.22395057576038865,0.3376052316207498,0.9756484734232224,0.3333333333333333,Not significant
Lac-4,stat,844501,-0.299997,356.5,356.5,0,1,1,1,Not significant
Lac-4,stat,845501,-0.299169,352.5,368.5,-0.06404136180891383,0.789000112702719,0.9903099068723386,0.6666666666666666,Not significant
Lac-4,stat,846501,-0.29834,347,332,0.06375242123133601,0.7789145549750892,0.9903099068723386,1,Not significant
Lac-4,stat,847501,-0.297511,370.5,402,-0.1177219588730947,0.5919454331818206,0.9788484046992368,1,Not significant
Lac-4,stat,848501,-0.296683,396.5,436.5,-0.13866078792546163,0.4136039828499438,0.9756484734232224,0.6666666666666666,Not significant
Lac-4,stat,849501,-0.295854,481.5,471.5,0.03027802716836284,0.8967260204778296,0.9913046107799296,1,Not significant
Lac-4,stat,850501,-0.295025,362.5,360,0.00998408857262207,0.9670416986842001,0.992337884889692,1,Not significant
Lac-4,stat,851501,-0.294196,359.5,343.5,0.06568167162119763,0.840279572931225,0.9913046107799296,1,Not significant
Lac-4,stat,852501,-0.293368,340.5,363.5,-0.09430056590752324,0.8021331169214813,0.9913046107799296,1,Not significant
