strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,category
AB30,stat,210501,-0.935524,339.5,294.5,0.20514394041427123,No substantial change
AB30,stat,211501,-0.935214,399,352.5,0.17876548893619,No substantial change
AB30,stat,212501,-0.934904,388.5,334.5,0.21590838776624918,No substantial change
AB30,stat,213501,-0.934594,350,321.5,0.12253618450438146,No substantial change
AB30,stat,214501,-0.934284,345.5,308.5,0.16341522123884067,No substantial change
AB30,stat,215501,-0.933974,379.5,282,0.4284047230166727,No substantial change
AB30,stat,216501,-0.933664,395,316,0.32192809488736235,No substantial change
AB30,stat,217501,-0.933354,355,269,0.40021285183542016,No substantial change
AB30,stat,218501,-0.933044,369,247,0.5791097744757184,No substantial change
AB30,stat,219501,-0.932734,375.5,267,0.49197316582671785,No substantial change
AB30,stat,220501,-0.932424,352,232.5,0.5983447126419035,No substantial change
AB30,stat,221501,-0.932114,336.5,231,0.5427136531942595,No substantial change
AB30,stat,222501,-0.931804,323.5,234.5,0.464177789477131,No substantial change
AB30,stat,223501,-0.931494,343.5,206.5,0.7341683173986547,No substantial change
AB30,stat,224501,-0.931184,334,228,0.5508142783093104,No substantial change
AB30,stat,225501,-0.930874,369.5,283,0.3847723113142686,No substantial change
AB30,stat,226501,-0.930564,343,247.5,0.4707800512058404,No substantial change
AB30,stat,227501,-0.930254,336,255.5,0.3951379418411389,No substantial change
AB30,stat,228501,-0.929944,313.5,273.5,0.19692461000948233,No substantial change
AB30,stat,229501,-0.929634,350,315.5,0.1497149168497798,No substantial change
AB30,stat,230501,-0.929324,352.5,324,0.12162944440153126,No substantial change
AB30,stat,231501,-0.929014,344,275.5,0.32035624613094044,No substantial change
AB30,stat,232501,-0.928704,305.5,247.5,0.30374385485175753,No substantial change
AB30,stat,233501,-0.928394,327,262.5,0.3169732129445976,No substantial change
AB30,stat,234501,-0.928084,318,261,0.28497695871447093,No substantial change
AB30,stat,235501,-0.927774,343.5,247,0.4757990572334224,No substantial change
AB30,stat,236501,-0.927464,365.5,212,0.7858071413892382,No substantial change
AB30,stat,237501,-0.927154,399,265,0.5903963867717844,No substantial change
AB30,stat,238501,-0.926844,361,244.5,0.5621643719349373,No substantial change
AB30,stat,239501,-0.926534,433.5,369,0.23241117716143894,No substantial change
AB30,stat,240501,-0.926224,448.5,364.5,0.2991891705923242,No substantial change
AB30,stat,241501,-0.925914,358.5,281.5,0.34883819662167526,No substantial change
AB30,stat,242501,-0.925604,295.5,205.5,0.5240197364958494,No substantial change
AB30,stat,243501,-0.925294,338.5,241.5,0.4871326447392235,No substantial change
AB30,stat,244501,-0.924985,371,262,0.501852375083353,No substantial change
AB30,stat,245501,-0.924675,432,256.5,0.7520724865564145,No substantial change
AB30,stat,246501,-0.924365,433,259.5,0.7386324863688442,No substantial change
AB30,stat,247501,-0.924055,368.5,205,0.8460407095896236,No substantial change
AB30,stat,248501,-0.923745,375,231.5,0.6958784021230068,No substantial change
AB30,stat,249501,-0.923435,421.5,262,0.6859658194046321,No substantial change
AB30,stat,250501,-0.923125,339,196,0.7904316190211357,No substantial change
AB30,stat,251501,-0.922815,331.5,188,0.8182762084349504,No substantial change
AB30,stat,252501,-0.922505,362.5,195.5,0.8908123875949445,No substantial change
AB30,stat,253501,-0.922195,446,258.5,0.7868794296053702,No substantial change
AB30,stat,254501,-0.921885,406.5,252.5,0.6869719644358707,No substantial change
AB30,stat,255501,-0.921575,408,256,0.6724253419714956,No substantial change
AB30,stat,256501,-0.921265,375.5,254,0.5639844107421059,No substantial change
AB30,stat,257501,-0.920955,385.5,277,0.47684488386584595,No substantial change
AB30,stat,258501,-0.920645,358,314,0.1891950283726294,No substantial change
AB30,stat,259501,-0.920335,350.5,361,-0.0425843928765479,No substantial change
AB30,stat,260501,-0.920025,297,283,0.06966087796888336,No substantial change
AB30,stat,261501,-0.919715,296,313,-0.08056548130366861,No substantial change
AB30,stat,262501,-0.919405,342.5,291.5,0.23260810464739257,No substantial change
AB30,stat,263501,-0.919095,357,295.5,0.2727659438515673,No substantial change
AB30,stat,264501,-0.918785,389.5,309,0.33401649015729457,No substantial change
AB30,stat,265501,-0.918475,466.5,303,0.6225592873788078,No substantial change
AB30,stat,266501,-0.918165,319.5,224,0.5123171988893904,No substantial change
AB30,stat,267501,-0.917855,261,177.5,0.5562307821778402,No substantial change
AB30,stat,268501,-0.917545,298.5,156.5,0.9315682743321867,No substantial change
AB30,stat,269501,-0.917235,284.5,174,0.7093413464578535,No substantial change
AB30,stat,270501,-0.916925,287,182.5,0.6531542729083082,No substantial change
AB30,stat,271501,-0.916615,274.5,189.5,0.534608300834107,No substantial change
AB30,stat,272501,-0.916305,275.5,193.5,0.5097187524267474,No substantial change
AB30,stat,273501,-0.915995,319.5,214,0.5782051345458475,No substantial change
AB30,stat,274501,-0.915685,380.5,231,0.7200036020874878,No substantial change
AB30,stat,275501,-0.915375,338.5,192.5,0.8142973879927331,No substantial change
AB30,stat,276501,-0.915065,307.5,148.5,1.0501234794258363,Enriched in Meropenem
AB30,stat,277501,-0.914755,342.5,149.5,1.195958503649784,Enriched in Meropenem
AB30,stat,278501,-0.914445,419,196,1.0960965895841435,Enriched in Meropenem
AB30,stat,279501,-0.914135,428.5,209,1.0357922620316171,Enriched in Meropenem
AB30,stat,280501,-0.913825,322.5,176,0.8737237316733192,No substantial change
AB30,stat,281501,-0.913515,278,157,0.8243203238318805,No substantial change
AB30,stat,282501,-0.913205,367.5,198,0.892243819644117,No substantial change
AB30,stat,283501,-0.912895,347.5,185.5,0.9055937909900664,No substantial change
AB30,stat,284501,-0.912585,369.5,252,0.5521506306462344,No substantial change
AB30,stat,285501,-0.912275,302.5,193,0.6483342948938765,No substantial change
AB30,stat,286501,-0.911965,264,211.5,0.31988026623850374,No substantial change
AB30,stat,287501,-0.911655,313,208.5,0.5861152734879547,No substantial change
AB30,stat,288501,-0.911345,338,204,0.7284540943106889,No substantial change
AB30,stat,289501,-0.911035,398,301.5,0.40061042864356405,No substantial change
AB30,stat,290501,-0.910725,406.5,330.5,0.2986050805673361,No substantial change
AB30,stat,291501,-0.910415,344.5,265,0.37851162325372983,No substantial change
AB30,stat,292501,-0.910105,388.5,241,0.6888814521777485,No substantial change
AB30,stat,293501,-0.909795,310.5,201,0.6273977670415527,No substantial change
AB30,stat,294501,-0.909485,324,185,0.8084685423683127,No substantial change
AB30,stat,295501,-0.909175,377.5,250.5,0.591666041017233,No substantial change
AB30,stat,296501,-0.908865,379.5,268,0.5018668849576939,No substantial change
AB30,stat,297501,-0.908555,347.5,232,0.5828881724832976,No substantial change
AB30,stat,298501,-0.908246,310,210,0.561878887608115,No substantial change
AB30,stat,299501,-0.907936,275,187.5,0.5525410230287786,No substantial change
AB30,stat,300501,-0.907626,318.5,195,0.7078192485066896,No substantial change
AB30,stat,301501,-0.907316,292.5,171.5,0.7702280482979545,No substantial change
AB30,stat,302501,-0.907006,378.5,213,0.8294398697598934,No substantial change
AB30,stat,303501,-0.906696,398,304.5,0.3863262026373164,No substantial change
AB30,stat,304501,-0.906386,369.5,255,0.535077117287293,No substantial change
AB30,stat,305501,-0.906076,350,364.5,-0.058563892494608236,No substantial change
AB30,stat,306501,-0.905766,386.5,376,0.039735752247210085,No substantial change
AB30,stat,307501,-0.905456,385.5,312,0.305184831052786,No substantial change
AB30,stat,308501,-0.905146,418,314.5,0.4104429252015935,No substantial change
AB30,stat,309501,-0.904836,367,269.5,0.44549479009070725,No substantial change
AB30,stat,310501,-0.904526,373.5,357,0.06518416876013751,No substantial change
AB30,stat,311501,-0.904216,403,276.5,0.5435003582932604,No substantial change
AB30,stat,312501,-0.903906,423,290.5,0.542119499715421,No substantial change
AB30,stat,313501,-0.903596,442.5,293.5,0.5923169518603075,No substantial change
AB30,stat,314501,-0.903286,482.5,333,0.5350067650841805,No substantial change
AB30,stat,315501,-0.902976,413.5,303,0.4485695356983238,No substantial change
AB30,stat,316501,-0.902666,414,306.5,0.4337436938085438,No substantial change
AB30,stat,317501,-0.902356,379,232,0.7080730430435196,No substantial change
AB30,stat,318501,-0.902046,402,213,0.9163420709530903,No substantial change
AB30,stat,319501,-0.901736,410.5,240.5,0.7713453280077629,No substantial change
AB30,stat,320501,-0.901426,395.5,308.5,0.358407205323374,No substantial change
AB30,stat,321501,-0.901116,396,381,0.05570943258628749,No substantial change
AB30,stat,322501,-0.900806,369.5,319,0.2120179403812817,No substantial change
AB30,stat,323501,-0.900496,370,296,0.32192809488736235,No substantial change
AB30,stat,324501,-0.900186,353.5,349,0.018483178599746734,No substantial change
AB30,stat,325501,-0.899876,428,463,-0.11340139685908944,No substantial change
AB30,stat,326501,-0.899566,437.5,416.5,0.07096652135414358,No substantial change
AB30,stat,327501,-0.89925600000000006,372,364.5,0.029383806781094327,No substantial change
AB30,stat,328501,-0.898946,314,321.5,-0.03405417843632025,No substantial change
AB30,stat,329501,-0.898636,282.5,244,0.21136971973966381,No substantial change
AB30,stat,330501,-0.898326,347,249.5,0.4758958472410004,No substantial change
AB30,stat,331501,-0.898016,395,281.5,0.48871773098423565,No substantial change
AB30,stat,332501,-0.897706,356.5,267,0.4170623347563342,No substantial change
AB30,stat,333501,-0.897396,377.5,258,0.5491055787891871,No substantial change
AB30,stat,334501,-0.897086,386,262,0.55903403573063,No substantial change
AB30,stat,335501,-0.896776,371.5,250.5,0.5685516073433879,No substantial change
AB30,stat,336501,-0.896466,424.5,288.5,0.557193234907556,No substantial change
AB30,stat,337501,-0.896156,330.5,277.5,0.2521625002702234,No substantial change
AB30,stat,338501,-0.895846,380.5,277,0.4580104774543571,No substantial change
AB30,stat,339501,-0.895536,328,250.5,0.38888521142287524,No substantial change
AB30,stat,340501,-0.895226,366,229,0.6764960501870985,No substantial change
AB30,stat,341501,-0.894916,334.5,230,0.5403723496970856,No substantial change
AB30,stat,342501,-0.894606,373,312,0.2576296013929894,No substantial change
AB30,stat,343501,-0.894296,376.5,260,0.5341382416434737,No substantial change
AB30,stat,344501,-0.893986,407.5,270,0.593840652067609,No substantial change
AB30,stat,345501,-0.893676,346.5,214,0.6952445557360668,No substantial change
AB30,stat,346501,-0.893366,378.5,290,0.3842403999707973,No substantial change
AB30,stat,347501,-0.893056,316,298.5,0.0821936269122979,No substantial change
AB30,stat,348501,-0.892746,389,311,0.3228555748555893,No substantial change
AB30,stat,349501,-0.892436,388.5,351,0.14644356810314946,No substantial change
AB30,stat,350501,-0.892126,403.5,350,0.20521375144545145,No substantial change
AB30,stat,351501,-0.891816,326.5,299,0.12693750734832582,No substantial change
AB30,stat,352501,-0.891507,410,359,0.19164006568239478,No substantial change
AB30,stat,353501,-0.891197,367,348,0.07669275699448434,No substantial change
AB30,stat,354501,-0.890887,331.5,369,-0.1546119459478084,No substantial change
AB30,stat,355501,-0.890577,388.5,322,0.27085391029309314,No substantial change
AB30,stat,356501,-0.890267,350,330,0.08488889758651294,No substantial change
AB30,stat,357501,-0.889957,365,384,-0.07320984695377655,No substantial change
AB30,stat,358501,-0.889647,345.5,338,0.03166246410607429,No substantial change
AB30,stat,359501,-0.889337,346,324,0.09477822475210002,No substantial change
AB30,stat,360501,-0.889027,321,347.5,-0.1144396804885667,No substantial change
AB30,stat,361501,-0.888717,353,338,0.06264493698899583,No substantial change
AB30,stat,362501,-0.888407,346.5,325.5,0.09019780897157816,No substantial change
AB30,stat,363501,-0.888097,334,349,-0.06337893373560004,No substantial change
AB30,stat,364501,-0.887787,354.5,332.5,0.0924312868509641,No substantial change
AB30,stat,365501,-0.887477,314.5,294,0.09724386204292468,No substantial change
AB30,stat,366501,-0.887167,341,247.5,0.46234321405720047,No substantial change
AB30,stat,367501,-0.886857,289,265,0.12507713305011725,No substantial change
AB30,stat,368501,-0.886547,296.5,295,0.0073171502968000885,No substantial change
AB30,stat,369501,-0.886237,289.5,305,-0.07524589446101207,No substantial change
AB30,stat,370501,-0.885927,302,287.5,0.07098659349334142,No substantial change
AB30,stat,371501,-0.885617,272.5,251.5,0.11569782985876155,No substantial change
AB30,stat,372501,-0.885307,264,262,0.010971117821003018,No substantial change
AB30,stat,373501,-0.884997,400,369,0.11637918371432851,No substantial change
