strain,phase,window_mid,norm_position,density_drug,density_nd,log2FC,t_test_p,t_test_p_adj_BH,mwu_p,category
AB30,stat,3108501,-0.037198,323,295.5,0.12837603451639248,0.3138545568656199,0.4845905413094395,0.3333333333333333,Not significant
AB30,stat,3109501,-0.036888,352.5,298.5,0.23989232602135074,0.13125085976516887,0.3551842235560477,0.3333333333333333,Not significant
AB30,stat,3110501,-0.036578,313,286.5,0.12762751817571347,0.20749351323764625,0.4003930050838218,0.3333333333333333,Not significant
AB30,stat,3111501,-0.036268,324,290.5,0.15745564948009574,0.27762598998215404,0.45520659132648744,0.3333333333333333,Not significant
AB30,stat,3112501,-0.035958,295.5,309.5,-0.06678127903673221,0.7487832021201364,0.8299179276585347,1,Not significant
AB30,stat,3113501,-0.035648,299,314,-0.07061907469352195,0.5376031938866095,0.6734023821689495,0.6666666666666666,Not significant
AB30,stat,3114501,-0.035338,362,315.5,0.1983496921006564,0.36682152717421757,0.5318850782111272,0.6666666666666667,Not significant
AB30,stat,3115501,-0.035028,346.5,321.5,0.10803661480926641,0.20493577813459066,0.3991872640158723,0.3333333333333333,Not significant
AB30,stat,3116501,-0.034718,302.5,291,0.05591598925367311,0.7619268597866946,0.838847039444276,0.6666666666666667,Not significant
AB30,stat,3117501,-0.034408,308.5,321,-0.057302807972885166,0.5735286297049262,0.7019692406498589,0.6666666666666666,Not significant
AB30,stat,3118501,-0.034098,406,334,0.2816316247111239,0.12192835113480205,0.35042272799617513,0.3333333333333333,Not significant
AB30,stat,3119501,-0.033788,390.5,335.5,0.21900978194179574,0.17455220216346357,0.37753903612394435,0.3333333333333333,Not significant
AB30,stat,3120501,-0.033478,357.5,315,0.1825914132784729,0.32112043110996663,0.49121471972406877,0.3333333333333333,Not significant
AB30,stat,3121501,-0.033168,286.5,280,0.033108311811938296,0.875126793512212,0.9179314702631859,1,Not significant
AB30,stat,3122501,-0.032858,327.5,276.5,0.24421542619010558,0.0682528409785049,0.3341657251864429,0.3333333333333333,Not significant
AB30,stat,3123501,-0.032548,329.5,293,0.16937780058580382,0.13617263834687926,0.3578970373531684,0.3333333333333333,Not significant
AB30,stat,3124501,-0.032238,372.5,355.5,0.06739086573010854,0.32984288091395564,0.4977503641647228,0.6666666666666667,Not significant
AB30,stat,3125501,-0.031928,356.5,336,0.08544084366512765,0.743058183410418,0.8268072315534664,1,Not significant
AB30,stat,3126501,-0.031618,314,298,0.07545222842946533,0.3818601472472623,0.5452988066456788,0.3333333333333333,Not significant
AB30,stat,3127501,-0.031308,333.5,324,0.04169294829996029,0.6653964857015521,0.7719026683700553,0.6666666666666667,Not significant
AB30,stat,3128501,-0.030998,293,368.5,-0.3307639546728217,0.21990192956767526,0.41225853375138344,0.3333333333333333,Not significant
AB30,stat,3129501,-0.030688,343.5,319.5,0.10449416787110566,0.6535259056314605,0.7629448236062415,0.6666666666666667,Not significant
AB30,stat,3130501,-0.030378,354,272.5,0.3774931304187088,0.01960795396211157,0.3319718438197075,0.3333333333333333,Not significant
AB30,stat,3131501,-0.030068,313.5,293,0.09756477837979112,0.3633946978143926,0.5276223183676977,0.6666666666666667,Not significant
AB30,stat,3132501,-0.029758,333.5,308,0.11475641048968373,0.3974806497608434,0.559365743600104,0.6666666666666667,Not significant
AB30,stat,3133501,-0.029448,315,277,0.18546585233809043,0.20582281505293873,0.3999238103492547,0.3333333333333333,Not significant
AB30,stat,3134501,-0.029138,310.5,294.5,0.07632563439002081,0.5284159038487817,0.66685998816727865,1,Not significant
AB30,stat,3135501,-0.028828,298.5,300.5,-0.009634059446380407,0.9655705401867798,0.9780905593951259,1,Not significant
AB30,stat,3136501,-0.028518,248,262.5,-0.08197730216660971,0.37909741439092604,0.5424259471674723,0.6666666666666666,Not significant
AB30,stat,3137501,-0.028208,319.5,272.5,0.22955970128270559,0.16025732795487935,0.3706834147257101,0.3333333333333333,Not significant
AB30,stat,3138501,-0.027898,408,419.5,-0.040101658468327625,0.8219840607172508,0.8825518514686532,1,Not significant
AB30,stat,3139501,-0.027588,306,310.5,-0.021061615527829577,0.7336827874845038,0.820376986831228,0.6666666666666666,Not significant
AB30,stat,3140501,-0.027278,253,251,0.011450020743538127,0.9577517307598548,0.9747016291052308,1,Not significant
AB30,stat,3141501,-0.026968,300.5,292.5,0.03892836624041843,0.8220724098705475,0.8825518514686532,1,Not significant
AB30,stat,3142501,-0.026658,257.5,292,-0.18139593680943647,0.293027395132749,0.4667330872860471,0.41421617824252505,Not significant
