Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
PID-2861-1_S196_R1_001	(1, 0.0002023042453545888)	(2, 0.025288030669323593)	(3, 0.002225346698900476)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09613497739250058)	(35, 0.09344433092928456)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.023042453545888e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.023042453545888e-05)	(120, 0.00024276509442550654)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 2.0230625079784528e-05)	(145, 0.0)	(150, 0.0)
PID-2861-1_S196_R2_001	(1, 0.0)	(2, 0.0)	(3, 0.0013149775948048269)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00022253466989004763)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 2.023042453545888e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.00014161297174821214)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 2.023042453545888e-05)	(120, 0.00032368679256734206)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 6.484621719591988e-05)
PID-2861-20_S215_R1_001	(1, 0.0002888943243821032)	(2, 0.029563519195101893)	(3, 0.0012518754056557804)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09444918445132226)	(35, 0.09080911596410776)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 1.9259621625473545e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 1.9259621625473545e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0003274135676330503)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
PID-2861-20_S215_R2_001	(1, 0.0)	(2, 0.0)	(3, 0.0019259621625473545)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0002696347027566297)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 3.851924325094709e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.00011555772975284128)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.9259621625473545e-05)	(120, 0.0004622309190113651)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 6.165440977000439e-05)
PID-2861-21_S216_R1_001	(1, 0.0001858658327486304)	(2, 0.0275081432467973)	(3, 0.001765725411111989)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0984159584403998)	(35, 0.09332323462308732)	(40, 1.858658327486304e-05)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 3.717316654972608e-05)	(65, 0.0)	(70, 0.0)	(75, 1.858658327486304e-05)	(80, 0.0)	(85, 0.0)	(90, 7.434633309945216e-05)	(95, 0.0)	(100, 0.0)	(105, 3.717316654972608e-05)	(110, 7.434633309945216e-05)	(115, 0.00020445241602349345)	(120, 0.00042749141532184994)	(125, 5.5759749824589124e-05)	(130, 0.0)	(135, 0.0)	(140, 0.00022304119645245545)	(145, 0.0)	(150, 0.0)
PID-2861-21_S216_R2_001	(1, 0.0001858658327486304)	(2, 0.0)	(3, 0.001765725411111989)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00031597191567267165)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 9.29329163743152e-05)	(65, 3.717316654972608e-05)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 3.717316654972608e-05)	(90, 0.0002230389992983565)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.00011151949964917825)	(120, 0.0005575974982458912)	(125, 0.0)	(130, 0.00014869266619890433)	(135, 1.858658327486304e-05)	(140, 0.0)	(145, 0.0)	(150, 0.00011924678957830758)
PID-2861-22_S217_R1_001	(1, 9.936713074428963e-05)	(2, 0.027226593823935354)	(3, 0.0017886083533972133)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09330573576888795)	(35, 0.08770142959491002)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 1.9873426148857926e-05)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 1.9873426148857926e-05)	(95, 0.0)	(100, 0.0)	(105, 5.962027844657377e-05)	(110, 3.974685229771585e-05)	(115, 0.0)	(120, 0.00029810139223286885)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 9.936796015265305e-05)	(145, 0.0)	(150, 0.0)
PID-2861-22_S217_R2_001	(1, 0.0)	(2, 0.0)	(3, 0.001291772699675765)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00021860768763743717)	(35, 1.9873426148857926e-05)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 5.962027844657377e-05)	(65, 1.9873426148857926e-05)	(70, 0.0)	(75, 0.0)	(80, 1.9873426148857926e-05)	(85, 3.974685229771585e-05)	(90, 7.94937045954317e-05)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 9.936713074428963e-05)	(120, 0.00043721537527487435)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.00012718172296895556)
PID-2861-23_S218_R1_001	(1, 0.000237932084665753)	(2, 0.02712425765189584)	(3, 0.0022603548043246538)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.09545835236790011)	(35, 0.09348351606517435)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0001427592507994518)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0001427592507994518)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 7.13796253997259e-05)	(115, 0.0)	(120, 0.0006662098370641084)	(125, 0.0)	(130, 2.37932084665753e-05)	(135, 0.0)	(140, 2.379341227035788e-05)	(145, 0.0)	(150, 0.0)
PID-2861-23_S218_R2_001	(1, 0.000713796253997259)	(2, 0.0)	(3, 0.0026172529313232833)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0004044845439317801)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0001189660423328765)	(65, 2.37932084665753e-05)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 4.75864169331506e-05)	(90, 0.0003093117100654789)	(95, 0.0)	(100, 0.0)	(105, 2.37932084665753e-05)	(110, 0.0)	(115, 0.0)	(120, 0.0006424166285975331)	(125, 2.37932084665753e-05)	(130, 2.37932084665753e-05)	(135, 4.75864169331506e-05)	(140, 0.0)	(145, 0.0)	(150, 0.00022818755191266805)
