Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
PID-2861-21_S216_R1_001	(1.0, 56.72801525024275)	(2.0, 22.1019851519874)	(3.0, 9.547001396549689)	(4.0, 4.5315998783575475)	(5.0, 2.2130365436552126)	(6.0, 1.2010627422612732)	(7.0, 0.7575122243877754)	(8.0, 0.5156918260608817)	(9.0, 0.36097486559105874)	('>10', 1.9762438218935037)	('>50', 0.06687629901291701)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-21_S216_R2_001	(1.0, 59.155415653297425)	(2.0, 21.03120025595891)	(3.0, 8.814058972388173)	(4.0, 3.9916313083808093)	(5.0, 2.0821889145921286)	(6.0, 1.1328740150846222)	(7.0, 0.66493217098804)	(8.0, 0.45209061029107417)	(9.0, 0.30916588237479514)	('>10', 1.7171519831340714)	('>50', 0.037075742616521114)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.6122144908934183)	('>10k+', 0.0)
PID-2861-22_S217_R1_001	(1.0, 57.499775243695005)	(2.0, 22.44503881665745)	(3.0, 9.820125370517408)	(4.0, 4.441312282503575)	(5.0, 2.0481905657744575)	(6.0, 1.161359040369106)	(7.0, 0.6720855621486445)	(8.0, 0.42718187274988006)	(9.0, 0.25919875041070667)	('>10', 1.190689182239284)	('>50', 0.035043312934481555)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-22_S217_R2_001	(1.0, 59.2848903251162)	(2.0, 21.68869389331891)	(3.0, 9.030881094556513)	(4.0, 4.0336117076818185)	(5.0, 2.0210094820486697)	(6.0, 1.0996786603550306)	(7.0, 0.6004529561518969)	(8.0, 0.32990719236863514)	(9.0, 0.25088157661894406)	('>10', 1.0898630982053974)	('>50', 0.03696214889824218)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.5331678646797644)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-23_S218_R1_001	(1.0, 55.996914754635895)	(2.0, 23.021494867213093)	(3.0, 10.252892946033136)	(4.0, 4.573657678446363)	(5.0, 2.2627339908087194)	(6.0, 1.1796869794517537)	(7.0, 0.6457484775180545)	(8.0, 0.3781991037539423)	(9.0, 0.26885681146334345)	('>10', 1.2718983534289743)	('>50', 0.14791603724676355)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-23_S218_R2_001	(1.0, 58.015211958769406)	(2.0, 21.866277639804245)	(3.0, 9.392608095627693)	(4.0, 4.201480129286854)	(5.0, 2.231402205143798)	(6.0, 1.1408146451255605)	(7.0, 0.6614309308311003)	(8.0, 0.37803229902604846)	(9.0, 0.24051814737930227)	('>10', 1.1461679013067319)	('>50', 0.1336153960738689)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.5924406516253594)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-24_S219_R1_001	(1.0, 55.59696844435391)	(2.0, 23.069434925062534)	(3.0, 10.192945627245173)	(4.0, 4.734791150477418)	(5.0, 2.330059617652882)	(6.0, 1.2431194279474196)	(7.0, 0.7131756559723018)	(8.0, 0.39860997127555187)	(9.0, 0.30926474956431604)	('>10', 1.2712994633300962)	('>50', 0.11667451930627142)	('>100', 0.023656447812098334)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-24_S219_R2_001	(1.0, 56.97809426645256)	(2.0, 22.224664478017043)	(3.0, 9.84064502776126)	(4.0, 4.446679525375597)	(5.0, 2.266868616869819)	(6.0, 1.1668496885033444)	(7.0, 0.6557741427173817)	(8.0, 0.3944228205279069)	(9.0, 0.24234974487517108)	('>10', 1.135662435220573)	('>50', 0.10805532063822396)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.5399339330411043)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-25_S220_R1_001	(1.0, 55.17026267634565)	(2.0, 23.320998885501833)	(3.0, 10.54740164137818)	(4.0, 4.957111068972776)	(5.0, 2.4978573532596333)	(6.0, 1.3323403357466728)	(7.0, 0.7029665724903452)	(8.0, 0.46931828455700886)	(9.0, 0.26291002177673223)	('>10', 0.7388331599711674)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-25_S220_R2_001	(1.0, 57.015017621146534)	(2.0, 22.327231347554914)	(3.0, 10.05209747247594)	(4.0, 4.664627907734301)	(5.0, 2.2593406889933147)	(6.0, 1.2021459254081002)	(7.0, 0.6689496363744157)	(8.0, 0.42841766616090365)	(9.0, 0.2546861407978078)	('>10', 0.664699193837771)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.46278639951601613)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-26_S221_R1_001	(1.0, 53.043253520062684)	(2.0, 23.47061811068723)	(3.0, 10.775436816375894)	(4.0, 5.314264815921316)	(5.0, 2.8576801823567872)	(6.0, 1.453924563173421)	(7.0, 0.8687850039670298)	(8.0, 0.5563282874727628)	(9.0, 0.36314577171569223)	('>10', 1.2797514917895592)	('>50', 0.016811436477633047)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-26_S221_R2_001	(1.0, 54.638787145473735)	(2.0, 22.405634329629073)	(3.0, 10.408607937413828)	(4.0, 5.161849186785621)	(5.0, 2.6077877698173215)	(6.0, 1.3864406183180795)	(7.0, 0.8431254560853705)	(8.0, 0.5013712166294095)	(9.0, 0.3784883585503494)	('>10', 1.2076379516296507)	('>50', 0.012603743205906666)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.44766628646164786)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-27_S222_R1_001	(1.0, 52.68561185853534)	(2.0, 23.2526723601975)	(3.0, 11.039933083514848)	(4.0, 5.628327015165251)	(5.0, 3.0279133663866826)	(6.0, 1.6098201668554752)	(7.0, 0.9430501075703164)	(8.0, 0.5354093753572267)	(9.0, 0.36688450753434276)	('>10', 0.9103781588829322)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-27_S222_R2_001	(1.0, 53.215360210462556)	(2.0, 22.744001023995846)	(3.0, 10.997684370897403)	(4.0, 5.3612664072083165)	(5.0, 2.9074594862102843)	(6.0, 1.5274348531144617)	(7.0, 0.9577999794161502)	(8.0, 0.5839742065746657)	(9.0, 0.3395528847213813)	('>10', 0.9510676175540786)	('>50', 0.005714576403554283)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.40868438344128527)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-28_S223_R1_001	(1.0, 55.05675130186464)	(2.0, 23.811976799234962)	(3.0, 10.632285590899764)	(4.0, 4.775147589921506)	(5.0, 2.494817365930409)	(6.0, 1.2898733469397403)	(7.0, 0.6534389091907291)	(8.0, 0.3856674538071057)	(9.0, 0.2530328641643803)	('>10', 0.6470087780467959)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-28_S223_R2_001	(1.0, 56.64027682672842)	(2.0, 22.731596258286956)	(3.0, 10.158178130914363)	(4.0, 4.705366429189158)	(5.0, 2.2996531193438625)	(6.0, 1.216818194995669)	(7.0, 0.6847891661723637)	(8.0, 0.39410984524823073)	(9.0, 0.2294608517299046)	('>10', 0.5801904459380424)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.3595607314529828)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-29_S224_R1_001	(1.0, 56.53908187886867)	(2.0, 23.121760982564222)	(3.0, 9.897917719070104)	(4.0, 4.539816908114976)	(5.0, 2.257428733482433)	(6.0, 1.180393952035421)	(7.0, 0.6536351162559907)	(8.0, 0.4095546322821669)	(9.0, 0.2787555820433308)	('>10', 1.1003339455918386)	('>50', 0.021320549690819125)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-29_S224_R2_001	(1.0, 59.05820376206837)	(2.0, 21.68242580807293)	(3.0, 9.28500093339116)	(4.0, 4.16023385807057)	(5.0, 2.0278506991423524)	(6.0, 1.088499447197297)	(7.0, 0.6058643511100273)	(8.0, 0.35218776854645784)	(9.0, 0.266792430190362)	('>10', 1.02270821855074)	('>50', 0.023900625408284318)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.4263320982514381)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-2_S197_R1_001	(1.0, 57.90956135041259)	(2.0, 22.373689996418292)	(3.0, 9.455411832646346)	(4.0, 4.1046005251609845)	(5.0, 2.0190295566350565)	(6.0, 1.0550834128883138)	(7.0, 0.5409310810631807)	(8.0, 0.3678961825697153)	(9.0, 0.2549244964537679)	('>10', 1.4528834220295015)	('>50', 0.23104901636619912)	('>100', 0.2349391273560382)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-2_S197_R2_001	(1.0, 59.233603543466764)	(2.0, 21.413146998479718)	(3.0, 8.973614539026373)	(4.0, 4.067329115997991)	(5.0, 1.9140727302301537)	(6.0, 1.0368947297665514)	(7.0, 0.5494841062680668)	(8.0, 0.30615968971403995)	(9.0, 0.24163340014320517)	('>10', 1.315268729255133)	('>50', 0.23576550153907128)	('>100', 0.21073880643522144)	('>500', 0.0)	('>1k', 0.5022881096777337)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-30_S225_R1_001	(1.0, 59.05952583536713)	(2.0, 22.17978578336213)	(3.0, 9.020590974309945)	(4.0, 4.152438803485994)	(5.0, 1.9231633245805477)	(6.0, 1.0628028862399606)	(7.0, 0.654504931997637)	(8.0, 0.3902077166741975)	(9.0, 0.22589404041393948)	('>10', 1.3073604065811026)	('>50', 0.02372529698740851)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-30_S225_R2_001	(1.0, 59.41364618355966)	(2.0, 21.664228654978267)	(3.0, 9.07548812772538)	(4.0, 4.077650403021703)	(5.0, 1.9374693970974564)	(6.0, 1.0650641533265472)	(7.0, 0.5954823910220404)	(8.0, 0.39887072327193396)	(9.0, 0.2502472967007794)	('>10', 1.1663194549293638)	('>50', 0.0462824302726136)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.30925078409428175)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-31_S226_R1_001	(1.0, 67.59338410693637)	(2.0, 20.583229016649312)	(3.0, 7.05491632456074)	(4.0, 2.6708186208887517)	(5.0, 1.1338488443078252)	(6.0, 0.4655602079196999)	(7.0, 0.2224919867950313)	(8.0, 0.10414874594758018)	(9.0, 0.05958492762447084)	('>10', 0.11201721837022617)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-31_S226_R2_001	(1.0, 69.19700914602434)	(2.0, 19.447885855434798)	(3.0, 6.573709349114373)	(4.0, 2.497141092855881)	(5.0, 0.9230779486796873)	(6.0, 0.41979672582101185)	(7.0, 0.20616590490492073)	(8.0, 0.103780067178995)	(9.0, 0.04912661022043291)	('>10', 0.06553790598629096)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.5167693937792432)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-32_S227_R1_001	(1.0, 58.30889919919991)	(2.0, 23.147548560489053)	(3.0, 9.760667120367895)	(4.0, 4.437875314839539)	(5.0, 1.9885825452753279)	(6.0, 1.000075748376234)	(7.0, 0.5246570220581097)	(8.0, 0.26701343084124807)	(9.0, 0.20730836320138382)	('>10', 0.3573726953513664)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-32_S227_R2_001	(1.0, 60.09658560270176)	(2.0, 22.185328931804282)	(3.0, 9.199030728738364)	(4.0, 4.074293308488083)	(5.0, 1.9284162280118582)	(6.0, 0.8333141910354382)	(7.0, 0.5669134362619936)	(8.0, 0.2659052738305115)	(9.0, 0.20132069076488693)	('>10', 0.3080921318463868)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.34079947651641973)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-33_S228_R1_001	(1.0, 50.82993028048539)	(2.0, 23.653092224125473)	(3.0, 11.65079837563959)	(4.0, 5.894089472589563)	(5.0, 3.190879808578404)	(6.0, 1.6831352452037718)	(7.0, 1.059622488717795)	(8.0, 0.6121522929323855)	(9.0, 0.4074804278748685)	('>10', 1.0188193838527304)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
PID-2861-33_S228_R2_001	(1.0, 52.84438077447179)	(2.0, 22.86094891797432)	(3.0, 10.961546465627107)	(4.0, 5.599227633859606)	(5.0, 2.9477386356557957)	(6.0, 1.5944942555130095)	(7.0, 0.9065888914398227)	(8.0, 0.5733584508446513)	(9.0, 0.36344287237567907)	('>10', 0.908987689131092)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.43928541310715874)	('>5k', 0.0)	('>10k+', 0.0)
